time,S1,S2,C
0,1.5e-015,1.5e-015,1
0.1,1.357256127473204e-015,1.642743872526796e-015,0.999000499833375
0.2,1.228096128625278e-015,1.771903871374723e-015,0.9980019986673331
0.3,1.111227328715914e-015,1.888772671284087e-015,0.997004495503373
0.4,1.005480066683377e-015,1.994519933316624e-015,0.9960079893439916
0.5,9.097959879320838e-016,2.090204012067917e-015,0.9950124791926824
0.6,8.232174534241315e-016,2.176782546575869e-015,0.9940179640539354
0.7,7.448779557281681e-016,2.255122044271832e-015,0.9930244429332352
0.8,6.73993446717324e-016,2.326006553282677e-015,0.9920319148370608
0.9,6.098544904356273e-016,2.390145509564373e-015,0.9910403787728839
1,5.518191627216932e-016,2.448180837278308e-015,0.9900498337491682
1.1,4.993066265567385e-016,2.500693373443262e-015,0.9890602787753687
1.2,4.517913188300286e-016,2.548208681169972e-015,0.9880717128619306
1.3,4.087976903298853e-016,2.591202309670116e-015,0.9870841350202877
1.4,3.698954463133759e-016,2.630104553686626e-015,0.9860975442628621
1.5,3.346952400235744e-016,2.665304759976427e-015,0.9851119396030629
1.6,3.028447760503281e-016,2.697155223949673e-015,0.9841273200552853
1.7,2.74025284508893e-016,2.725974715491108e-015,0.9831436846349098
1.8,2.479483306802107e-016,2.752051669319791e-015,0.9821610323583009
1.9,2.243529280559518e-016,2.775647071944049e-015,0.9811793622428061
2,2.030029256988838e-016,2.796997074301117e-015,0.9801986733067554
2.1,1.836846437195997e-016,2.816315356280401e-015,0.9792189645694597
2.2,1.662047376069952e-016,2.833795262393006e-015,0.9782402350512101
2.3,1.503882641727363e-016,2.849611735827265e-015,0.9772624837732771
2.4,1.360769288028013e-016,2.8639230711972e-015,0.9762857097579093
2.5,1.231274990222775e-016,2.876872500977723e-015,0.9753099120283327
2.6,1.114103681963629e-016,2.888589631803639e-015,0.9743350896087494
2.7,1.008082679301426e-016,2.899191732069858e-015,0.9733612415243368
2.8,9.121509300657773e-017,2.908784906993423e-015,0.9723883668012469
2.9,8.253483160154418e-017,2.917465168398456e-015,0.9714164644666048
3,7.468060237394877e-017,2.925319397626052e-015,0.9704455335485082
3.1,6.757380218469675e-017,2.932426197815304e-015,0.9694755730760258
3.2,6.114330727161136e-017,2.938856692728389e-015,0.9685065820791975
3.3,5.53247510627436e-017,2.944675248937256e-015,0.9675385595890319
3.4,5.005990364878468e-017,2.949940096351216e-015,0.9665715046375066
3.5,4.529607667854016e-017,2.95470392332146e-015,0.9656054162575665
3.6,4.098558287415985e-017,2.959014417125841e-015,0.964640293483123
3.7,3.708528938794516e-017,2.962914710612055e-015,0.9636761353490534
3.8,3.355615869990077e-017,2.966443841300099e-015,0.9627129408911994
3.9,3.036286574177401e-017,2.969637134258226e-015,0.9617507091463666
4,2.747345988120749e-017,2.972526540118793e-015,0.9607894391523232
4.1,2.485901198607581e-017,2.975140988013925e-015,0.9598291299477989
4.2,2.249336601374863e-017,2.977506633986253e-015,0.9588697805724846
4.3,2.035283811196139e-017,2.97964716188804e-015,0.9579113900670307
4.4,1.841600981578609e-017,2.981583990184215e-015,0.9569539574730468
4.5,1.66634949286092e-017,2.983336505071392e-015,0.9559974818331
4.6,1.507775317306523e-017,2.984922246826936e-015,0.9550419621907147
4.7,1.36429159802242e-017,2.986357084019777e-015,0.9540873975903712
4.8,1.234462008648864e-017,2.987655379913512e-015,0.9531337870775047
4.9,1.116987482665374e-017,2.988830125173346e-015,0.9521811296985049
5,1.010692196834211e-017,2.989893078031659e-015,0.951229424500714
