time,S1,S2,S3,S4,C
0,5e-016,1e-015,2e-015,1.5e-015,1
0.04,5.146228769548965e-016,1.014822916960231e-015,1.986377323071773e-015,1.486177283066439e-015,0.9996000799893344
0.08,5.281453695304932e-016,1.028545529573169e-015,1.973855430682883e-015,1.473455270640208e-015,0.9992003199146837
0.12,5.406449355726696e-016,1.041245295716713e-015,1.962356865147547e-015,1.461756505003503e-015,0.9988007197120864
0.16,5.521946297198331e-016,1.052995270061303e-015,1.951808571987517e-015,1.451007931646047e-015,0.9984012793176064
0.2,5.628631873922665e-016,1.063864188059267e-015,1.942141815942734e-015,1.441140815275734e-015,0.9980019986673332
0.24,5.727151382969027e-016,1.073916579449595e-015,1.933292067466555e-015,1.432090626313863e-015,0.9976028776973819
0.28,5.818109409945442e-016,1.083212902825159e-015,1.925198868158529e-015,1.423796906327914e-015,0.9972039163438931
0.32,5.902071351870347e-016,1.091809697919888e-015,1.917805678477229e-015,1.416203115744376e-015,0.9968051145430331
0.36,5.979565101643971e-016,1.099759754055899e-015,1.911059709293112e-015,1.40925646540161e-015,0.9964064722309934
0.4,6.05108280144801e-016,1.107112285483472e-015,1.904911746548554e-015,1.402907741209883e-015,0.9960079893439916
0.44,6.117082606038317e-016,1.113913107710314e-015,1.899315974928579e-015,1.397111127822097e-015,0.9956096658182702
0.48,6.177990472942015e-016,1.120204816521271e-015,1.894229798841148e-015,1.391824029614078e-015,0.9952115015900974
0.52,6.234202004340541e-016,1.126026972166636e-015,1.889613658228855e-015,1.387006886496273e-015,0.9948134965957669
0.56,6.286084231183532e-016,1.131416277773531e-015,1.885430850157538e-015,1.38262299550236e-015,0.9944156507715981
0.6,6.333977287704971e-016,1.13640674679753e-015,1.881647361364665e-015,1.378638343337633e-015,0.9940179640539354
0.64,6.378196139389906e-016,1.141029875819321e-015,1.878231695462663e-015,1.375021433582332e-015,0.9936204363791492
0.68,6.419032242831269e-016,1.145314810530399e-015,1.875154706953232e-015,1.37174312070596e-015,0.9932230676836349
0.72,6.45675502650583e-016,1.149288493810651e-015,1.872389453149757e-015,1.368776461989689e-015,0.9928258579038135
0.76,6.491613416813321e-016,1.152975818332276e-015,1.869911041573386e-015,1.366096564922442e-015,0.9924288069761316
0.8,6.523837300373964e-016,1.156399772789533e-015,1.867696483723287e-015,1.36368044097115e-015,0.9920319148370608
0.84,6.553638764120736e-016,1.159581565907972e-015,1.865724571067415e-015,1.361506881571517e-015,0.9916351814230985
0.88,6.581213436963442e-016,1.162540760610835e-015,1.863975740876106e-015,1.359556323961616e-015,0.9912386066707675
0.92,6.606741685551327e-016,1.165295393595323e-015,1.862431956645819e-015,1.357810731605628e-015,0.9908421905166155
0.96,6.630389649777748e-016,1.167862078883063e-015,1.861076604548662e-015,1.356253490643375e-015,0.9904459328972162
1,6.652310414874187e-016,1.170256125029503e-015,1.859894376223001e-015,1.354869292680917e-015,0.9900498337491681
1.04,6.672644882205856e-016,1.172491622203481e-015,1.858871181693889e-015,1.353644047710994e-015,0.9896538930090957
1.08,6.691522745059253e-016,1.174581539765974e-015,1.857994051794318e-015,1.352564786534269e-015,0.9892581106136482
1.12,6.709063352983537e-016,1.17653781270424e-015,1.857251051731074e-015,1.351619574325189e-015,0.9888624864995007
1.16,6.725376433081983e-016,1.178371413760959e-015,1.856631208955602e-015,1.350797438502842e-015,0.988467020603353
1.2,6.740562950009417e-016,1.180092439433981e-015,1.856124427164252e-015,1.350088282731214e-015,0.9880717128619306
1.24,6.754715644805949e-016,1.181710163859697e-015,1.855721432414915e-015,1.349482833035813e-015,0.9876765632119846
1.28,6.767919829524086e-016,1.183233118275751e-015,1.855413693664301e-015,1.348972558340959e-015,0.9872815715902906
1.32,6.780253821803265e-016,1.184669134478492e-015,1.855193379310497e-015,1.348549627012332e-015,0.9868867379336503
1.36,6.791789637623083e-016,1.186025414098298e-015,1.855053287917636e-015,1.348206837581647e-015,0.9864920621788902
1.4,6.802593361597623e-016,1.187308565629009e-015,1.854986811186469e-015,1.347937581717222e-015,0.9860975442628621
1.44,6.812725740178594e-016,1.188524663748241e-015,1.854987874634047e-015,1.347735784903666e-015,0.9857031841224432
1.48,6.822242491837474e-016,1.1896792803356e-015,1.855050906575512e-015,1.34759587542366e-015,0.9853089816945359
1.52,6.831194827787544e-016,1.190777536544883e-015,1.855170786051888e-015,1.34751273228576e-015,0.9849149369160676
1.56,6.839629691328691e-016,1.191824126738564e-015,1.855342818895605e-015,1.34748166128991e-015,0.9845210497239914
1.6,6.847590235026642e-016,1.192823366205712e-015,1.855562690012573e-015,1.347498347309525e-015,0.9841273200552853
1.64,6.855115984188282e-016,1.193779207509525e-015,1.855826447034652e-015,1.347558837943956e-015,0.9837337478469524
1.68,6.862243281579179e-016,1.194695284959081e-015,1.856130455847897e-015,1.347659499046734e-015,0.9833403330360213
1.72,6.86900539561549e-016,1.195574925428534e-015,1.856471389773372e-015,1.347797003906388e-015,0.9829470755595456
1.76,6.875432910015664e-016,1.196421187322275e-015,1.856846190601975e-015,1.347968294281267e-015,0.9825539753546042
1.8,6.881553829820655e-016,1.197236871176963e-015,1.857252057992419e-015,1.348170569797522e-015,0.9821610323583009
1.84,6.887393863227572e-016,1.198024547844882e-015,1.857686421287866e-015,1.348401259765741e-015,0.9817682465077648
1.88,6.892976595309174e-016,1.198786575865897e-015,1.858146922143979e-015,1.348658005809e-015,0.9813756177401503
1.92,6.898323614582323e-016,1.199525114124295e-015,1.858631401872076e-015,1.348938649206015e-015,0.9809831459926367
1.96,6.903454770062062e-016,1.200242147554192e-015,1.859137875733722e-015,1.349241205185736e-015,0.9805908312024285
2,6.908388218050461e-016,1.200939491818425e-015,1.859664528261843e-015,1.349563858248465e-015,0.9801986733067555
