time,case00170`S1,case00170`S2,case00170`S3,case00170`S4
0,1.e-15,2.e-15,0,0
0.1,9.759144954165249e-16,2.e-15,2.999999999999994e-17,2.999999999999994e-17
0.2,9.535693254740217e-16,2.e-15,5.999999999999994e-17,5.999999999999994e-17
0.3,9.328387392634451e-16,2.e-15,8.999999999999994e-17,8.999999999999994e-17
0.4,9.136060726355842e-16,2.e-15,1.199999999999999e-16,1.199999999999999e-16
0.5,8.957630925616796e-16,2.e-15,1.499999999999999e-16,1.499999999999999e-16
0.6,8.792093838466277e-16,2.e-15,1.799999999999999e-16,1.799999999999999e-16
0.7,8.638517880266134e-16,2.e-15,2.099999999999999e-16,2.099999999999999e-16
0.8,8.496038782687408e-16,2.e-15,2.399999999999999e-16,2.399999999999999e-16
0.9,8.363854726574305e-16,2.e-15,2.699999999999999e-16,2.699999999999999e-16
1.,8.241221797600475e-16,2.e-15,2.999999999999999e-16,2.999999999999999e-16
1.1,8.127449922726249e-16,2.e-15,3.299999999999999e-16,3.299999999999999e-16
1.2,8.021898842508116e-16,2.e-15,3.599999999999999e-16,3.599999999999999e-16
1.3,7.923974511833034e-16,2.e-15,3.899999999999999e-16,3.899999999999999e-16
1.4,7.833125808850019e-16,2.e-15,4.199999999999999e-16,4.199999999999999e-16
1.5,7.748841518929256e-16,2.e-15,4.499999999999999e-16,4.499999999999999e-16
1.6,7.670647126950226e-16,2.e-15,4.799999999999999e-16,4.799999999999999e-16
1.7,7.598103153080971e-16,2.e-15,5.099999999999999e-16,5.099999999999999e-16
1.8,7.530800848100923e-16,2.e-15,5.399999999999998e-16,5.399999999999998e-16
1.9,7.468361378013633e-16,2.e-15,5.699999999999998e-16,5.699999999999998e-16
2.,7.410433684753337e-16,2.e-15,5.999999999999996e-16,5.999999999999996e-16
2.1,7.356691787010059e-16,2.e-15,6.299999999999995e-16,6.299999999999995e-16
2.2,7.306833013532753e-16,2.e-15,6.599999999999995e-16,6.599999999999995e-16
2.3,7.260576716408179e-16,2.e-15,6.899999999999996e-16,6.899999999999996e-16
2.4,7.217662825536327e-16,2.e-15,7.199999999999996e-16,7.199999999999996e-16
2.5,7.177849848393127e-16,2.e-15,7.499999999999995e-16,7.499999999999995e-16
2.6,7.140913560793413e-16,2.e-15,7.799999999999996e-16,7.799999999999996e-16
2.7,7.10664605306965e-16,2.e-15,8.099999999999996e-16,8.099999999999996e-16
2.8,7.07485466062865e-16,2.e-15,8.399999999999996e-16,8.399999999999996e-16
2.9,7.045360481675191e-16,2.e-15,8.699999999999996e-16,8.699999999999996e-16
3.,7.017997406990876e-16,2.e-15,8.999999999999994e-16,8.999999999999994e-16
3.1,6.992611412855471e-16,2.e-15,9.299999999999995e-16,9.299999999999995e-16
3.2,6.969059770012308e-16,2.e-15,9.599999999999996e-16,9.599999999999996e-16
3.3,6.947209944867787e-16,2.e-15,9.899999999999995e-16,9.899999999999995e-16
3.4,6.926938880596473e-16,2.e-15,1.019999999999999e-15,1.019999999999999e-15
3.5,6.908132473591698e-16,2.e-15,1.049999999999999e-15,1.049999999999999e-15
3.6,6.890684987427969e-16,2.e-15,1.079999999999999e-15,1.079999999999999e-15
3.7,6.87449823883547e-16,2.e-15,1.109999999999999e-15,1.109999999999999e-15
3.8,6.85948106509195e-16,2.e-15,1.139999999999999e-15,1.139999999999999e-15
3.9,6.845548936117894e-16,2.e-15,1.169999999999999e-15,1.169999999999999e-15
4.,6.832623520448989e-16,2.e-15,1.199999999999999e-15,1.199999999999999e-15
4.1,6.820632082153084e-16,2.e-15,1.229999999999999e-15,1.229999999999999e-15
4.2,6.809507086236499e-16,2.e-15,1.259999999999999e-15,1.259999999999999e-15
4.299999999999999,6.799185911250919e-16,2.e-15,1.289999999999999e-15,1.289999999999999e-15
4.4,6.78961052779654e-16,2.e-15,1.319999999999999e-15,1.319999999999999e-15
4.5,6.780727051797072e-16,2.e-15,1.349999999999999e-15,1.349999999999999e-15
4.6,6.772485452150084e-16,2.e-15,1.379999999999999e-15,1.379999999999999e-15
4.7,6.764839337662874e-16,2.e-15,1.409999999999999e-15,1.409999999999999e-15
4.8,6.757745722032853e-16,2.e-15,1.439999999999999e-15,1.439999999999999e-15
4.9,6.751164676507967e-16,2.e-15,1.469999999999999e-15,1.469999999999999e-15
5.,6.745059152855312e-16,2.e-15,1.499999999999999e-15,1.499999999999999e-15
