time,S1,S2,S3,S4,S5
0,1e-006,1.5e-006,2e-006,5e-007,1e-006
0.04,7.194336174896538e-007,1.219433617489654e-006,2.280566382510345e-006,7.805663825103458e-007,1e-006
0.08,5.576290276379696e-007,1.05762902763797e-006,2.442370972362029e-006,9.423709723620301e-007,1e-006
0.12,4.560430924373447e-007,9.560430924373452e-007,2.543956907562655e-006,1.043956907562655e-006,1e-006
0.16,3.888279905729221e-007,8.888279905729226e-007,2.611172009427077e-006,1.111172009427077e-006,1e-006
0.2,3.427975564961449e-007,8.427975564961451e-007,2.657202443503854e-006,1.157202443503855e-006,1e-006
0.24,3.105273199947131e-007,8.105273199947134e-007,2.689472680005285e-006,1.189472680005287e-006,1e-006
0.28,2.87530371760306e-007,7.875303717603063e-007,2.712469628239692e-006,1.212469628239694e-006,1e-006
0.32,2.709500177200908e-007,7.70950017720091e-007,2.729049982279907e-006,1.229049982279909e-006,1e-006
0.36,2.588953139295691e-007,7.588953139295694e-007,2.741104686070429e-006,1.241104686070431e-006,1e-006
0.4,2.500774801619746e-007,7.50077480161975e-007,2.749922519838024e-006,1.249922519838025e-006,1e-006
0.44,2.43598616399667e-007,7.435986163996674e-007,2.756401383600331e-006,1.256401383600333e-006,1e-006
0.48,2.388227280456654e-007,7.388227280456659e-007,2.761177271954333e-006,1.261177271954334e-006,1e-006
0.52,2.352937046490826e-007,7.352937046490831e-007,2.764706295350916e-006,1.264706295350917e-006,1e-006
0.56,2.326813823093608e-007,7.326813823093612e-007,2.767318617690638e-006,1.267318617690639e-006,1e-006
0.6,2.307450908271132e-007,7.307450908271136e-007,2.769254909172885e-006,1.269254909172887e-006,1e-006
0.64,2.293084847435279e-007,7.293084847435284e-007,2.77069151525647e-006,1.270691515256472e-006,1e-006
0.68,2.282418418188597e-007,7.282418418188602e-007,2.771758158181139e-006,1.27175815818114e-006,1e-006
0.72,2.274494628579585e-007,7.274494628579589e-007,2.77255053714204e-006,1.272550537142041e-006,1e-006
0.76,2.268605900139941e-007,7.268605900139944e-007,2.773139409986004e-006,1.273139409986006e-006,1e-006
0.8,2.264228284488332e-007,7.264228284488336e-007,2.773577171551166e-006,1.273577171551166e-006,1e-006
0.84,2.260973298664715e-007,7.26097329866472e-007,2.773902670133527e-006,1.273902670133528e-006,1e-006
0.88,2.258552647728578e-007,7.258552647728583e-007,2.774144735227141e-006,1.274144735227142e-006,1e-006
0.92,2.256752249907657e-007,7.256752249907662e-007,2.774324775009233e-006,1.274324775009234e-006,1e-006
0.96,2.255413053211286e-007,7.255413053211291e-007,2.77445869467887e-006,1.274458694678871e-006,1e-006
1,2.254416845871725e-007,7.25441684587173e-007,2.774558315412826e-006,1.274558315412827e-006,1e-006
1.04,2.253675746344876e-007,7.253675746344881e-007,2.774632425365511e-006,1.274632425365512e-006,1e-006
1.08,2.253124409252195e-007,7.2531244092522e-007,2.774687559074779e-006,1.27468755907478e-006,1e-006
1.12,2.252714236956562e-007,7.252714236956567e-007,2.774728576304342e-006,1.274728576304343e-006,1e-006
1.16,2.25240907201625e-007,7.252409072016256e-007,2.774759092798373e-006,1.274759092798375e-006,1e-006
1.2,2.252182022279686e-007,7.252182022279692e-007,2.77478179777203e-006,1.274781797772031e-006,1e-006
1.24,2.252013103943606e-007,7.252013103943612e-007,2.774798689605638e-006,1.274798689605639e-006,1e-006
1.28,2.251887431063613e-007,7.251887431063618e-007,2.774811256893637e-006,1.274811256893638e-006,1e-006
1.32,2.25179391563439e-007,7.251793915634396e-007,2.774820608436559e-006,1.274820608436561e-006,1e-006
1.36,2.251724352899928e-007,7.251724352899934e-007,2.774827564710006e-006,1.274827564710007e-006,1e-006
1.4,2.251672584646061e-007,7.251672584646067e-007,2.774832741535392e-006,1.274832741535394e-006,1e-006
1.44,2.251634076536546e-007,7.251634076536551e-007,2.774836592346344e-006,1.274836592346345e-006,1e-006
1.48,2.251605418848323e-007,7.251605418848328e-007,2.774839458115166e-006,1.274839458115167e-006,1e-006
1.52,2.251584103940354e-007,7.25158410394036e-007,2.774841589605963e-006,1.274841589605964e-006,1e-006
1.56,2.251568235892699e-007,7.251568235892705e-007,2.774843176410729e-006,1.27484317641073e-006,1e-006
1.6,2.251556442157943e-007,7.25155644215795e-007,2.774844355784204e-006,1.274844355784205e-006,1e-006
1.64,2.251547652568265e-007,7.251547652568271e-007,2.774845234743172e-006,1.274845234743173e-006,1e-006
1.68,2.251541125323341e-007,7.251541125323347e-007,2.774845887467665e-006,1.274845887467666e-006,1e-006
1.72,2.251536263347691e-007,7.251536263347697e-007,2.774846373665229e-006,1.274846373665231e-006,1e-006
1.76,2.251532641907264e-007,7.25153264190727e-007,2.774846735809272e-006,1.274846735809273e-006,1e-006
1.8,2.2515299583137e-007,7.251529958313706e-007,2.774847004168629e-006,1.27484700416863e-006,1e-006
1.84,2.25152795322858e-007,7.251527953228586e-007,2.77484720467714e-006,1.274847204677142e-006,1e-006
1.88,2.251526459237982e-007,7.251526459237988e-007,2.774847354076201e-006,1.274847354076201e-006,1e-006
1.92,2.251525356501098e-007,7.251525356501103e-007,2.774847464349889e-006,1.27484746434989e-006,1e-006
1.96,2.251524534103466e-007,7.251524534103472e-007,2.774847546589652e-006,1.274847546589653e-006,1e-006
2,2.251523919526597e-007,7.251523919526603e-007,2.774847608047339e-006,1.27484760804734e-006,1e-006
