time,case00556`S1,case00556`S2,case00556`S3,case00556`S4,case00556`S5
0,5.e-16,2.e-15,1.e-15,1.e-15,5.e-16
0.3,5.713368790490108e-16,2.07133687904901e-15,9.286631209509891e-16,1.071336879049011e-15,5.e-16
0.6,6.359828994703103e-16,2.13598289947031e-15,8.640171005296896e-16,1.13598289947031e-15,5.e-16
0.9,6.958263805281721e-16,2.195826380528171e-15,8.041736194718278e-16,1.195826380528172e-15,5.e-16
1.2,7.483969685651541e-16,2.248396968565154e-15,7.516030314348457e-16,1.248396968565154e-15,5.e-16
1.5,7.963330449871578e-16,2.296333044987157e-15,7.03666955012842e-16,1.296333044987157e-15,5.e-16
1.8,8.451858912166283e-16,2.345185891216627e-15,6.548141087833717e-16,1.345185891216628e-15,5.e-16
2.1,8.866145259301479e-16,2.386614525930147e-15,6.13385474069852e-16,1.386614525930147e-15,5.e-16
2.4,9.220462624381128e-16,2.422046262438112e-15,5.779537375618871e-16,1.422046262438112e-15,5.e-16
2.7,9.548232323802527e-16,2.454823232380252e-15,5.451767676197474e-16,1.454823232380252e-15,5.e-16
3.,9.882875673962967e-16,2.488287567396296e-15,5.117124326037034e-16,1.488287567396296e-15,5.e-16
3.3,1.023771557248454e-15,2.523771557248454e-15,4.762284427515452e-16,1.523771557248455e-15,5.e-16
3.6,1.053901473403741e-15,2.553901473403741e-15,4.460985265962582e-16,1.553901473403741e-15,5.e-16
3.9,1.079670009045898e-15,2.579670009045897e-15,4.20329990954102e-16,1.579670009045898e-15,5.e-16
4.2,1.103507805367454e-15,2.603507805367454e-15,3.964921946325459e-16,1.603507805367454e-15,5.e-16
4.5,1.12784550356094e-15,2.62784550356094e-15,3.721544964390594e-16,1.62784550356094e-15,5.e-16
4.8,1.153652041635237e-15,2.653652041635237e-15,3.463479583647626e-16,1.653652041635237e-15,5.e-16
5.1,1.175564707929991e-15,2.675564707929991e-15,3.244352920700086e-16,1.675564707929991e-15,5.e-16
5.4,1.194305461124287e-15,2.694305461124286e-15,3.056945388757131e-16,1.694305461124287e-15,5.e-16
5.7,1.211642040267236e-15,2.711642040267236e-15,2.883579597327633e-16,1.711642040267236e-15,5.e-16
6.,1.229342184407954e-15,2.729342184407953e-15,2.706578155920459e-16,1.729342184407954e-15,5.e-16
6.3,1.248395707976447e-15,2.748395707976446e-15,2.516042920235526e-16,1.748395707976447e-15,5.e-16
6.6,1.266035425629847e-15,2.766035425629846e-15,2.33964574370153e-16,1.766035425629847e-15,5.e-16
6.9,1.282173416820315e-15,2.782173416820314e-15,2.17826583179685e-16,1.782173416820315e-15,5.e-16
7.2,1.297243581132634e-15,2.797243581132632e-15,2.027564188673663e-16,1.797243581132634e-15,5.e-16
7.5,1.311679818151585e-15,2.811679818151584e-15,1.883201818484146e-16,1.811679818151585e-15,5.e-16
7.8,1.32572027443013e-15,2.825720274430129e-15,1.742797255698694e-16,1.82572027443013e-15,5.e-16
8.1,1.33866366879473e-15,2.838663668794729e-15,1.613363312052701e-16,1.83866366879473e-15,5.e-16
8.4,1.350491526903468e-15,2.850491526903467e-15,1.495084730965319e-16,1.850491526903468e-15,5.e-16
8.7,1.361317217806106e-15,2.861317217806105e-15,1.386827821938935e-16,1.861317217806106e-15,5.e-16
9.,1.371254110552406e-15,2.871254110552406e-15,1.287458894475934e-16,1.871254110552406e-15,5.e-16
9.3,1.38048875890062e-15,2.88048875890062e-15,1.195112410993794e-16,1.88048875890062e-15,5.e-16
9.6,1.38940847453726e-15,2.88940847453726e-15,1.105915254627394e-16,1.88940847453726e-15,5.e-16
9.9,1.397928106129364e-15,2.897928106129363e-15,1.020718938706361e-16,1.897928106129364e-15,5.e-16
10.2,1.405899710785752e-15,2.905899710785751e-15,9.410028921424818e-17,1.905899710785751e-15,5.e-16
10.5,1.413175345615246e-15,2.913175345615245e-15,8.682465438475416e-17,1.913175345615245e-15,5.e-16
10.8,1.419711835868124e-15,2.919711835868123e-15,8.028816413187619e-17,1.919711835868123e-15,5.e-16
11.1,1.425922779264947e-15,2.925922779264946e-15,7.407722073505292e-17,1.925922779264947e-15,5.e-16
11.4,1.431789909346081e-15,2.93178990934608e-15,6.821009065391913e-17,1.931789909346081e-15,5.e-16
11.7,1.43722026754755e-15,2.937220267547549e-15,6.277973245245026e-17,1.937220267547549e-15,5.e-16
12.,1.442120895305378e-15,2.942120895305377e-15,5.787910469462161e-17,1.942120895305378e-15,5.e-16
12.3,1.446462913776879e-15,2.946462913776878e-15,5.353708622312107e-17,1.946462913776879e-15,5.e-16
12.6,1.450510980015997e-15,2.950510980015997e-15,4.94890199840023e-17,1.950510980015997e-15,5.e-16
12.9,1.454286046164853e-15,2.954286046164853e-15,4.571395383514647e-17,1.954286046164853e-15,5.e-16
13.2,1.457764650563104e-15,2.957764650563104e-15,4.223534943689523e-17,1.957764650563104e-15,5.e-16
13.5,1.460923331550409e-15,2.960923331550409e-15,3.907666844959016e-17,1.96092333155041e-15,5.e-16
13.8,1.46375962966768e-15,2.96375962966768e-15,3.624037033231984e-17,1.96375962966768e-15,5.e-16
14.1,1.466374123443128e-15,2.966374123443128e-15,3.362587655687136e-17,1.966374123443129e-15,5.e-16
14.4,1.468797377768515e-15,2.968797377768515e-15,3.120262223148432e-17,1.968797377768516e-15,5.e-16
14.7,1.47104601381247e-15,2.97104601381247e-15,2.895398618752935e-17,1.97104601381247e-15,5.e-16
15.,1.473136652743623e-15,2.973136652743622e-15,2.686334725637703e-17,1.973136652743622e-15,5.e-16
