time,case00604`S1,case00604`S2
0,1.50000E-15,1.50000E-15
0.1,1.35726E-15,1.64274E-15
0.2,1.22810E-15,1.77190E-15
0.3,1.11123E-15,1.88877E-15
0.4,1.00548E-15,1.99452E-15
0.5,9.09796E-16,2.09020E-15
0.6,8.23217E-16,2.17678E-15
0.7,7.44878E-16,2.25512E-15
0.8,6.73993E-16,2.32601E-15
0.9,6.09854E-16,2.39015E-15
1,5.51819E-16,2.44818E-15
1.1,4.99307E-16,2.50069E-15
1.2,4.51791E-16,2.54821E-15
1.3,4.08798E-16,2.59120E-15
1.4,3.69895E-16,2.63010E-15
1.5,3.34695E-16,2.66530E-15
1.6,3.02845E-16,2.69716E-15
1.7,2.74025E-16,2.72597E-15
1.8,2.47948E-16,2.75205E-15
1.9,2.24353E-16,2.77565E-15
2,2.03003E-16,2.79700E-15
2.1,1.83685E-16,2.81632E-15
2.2,1.66205E-16,2.83380E-15
2.3,1.50388E-16,2.84961E-15
2.4,1.36077E-16,2.86392E-15
2.5,1.23127E-16,2.87687E-15
2.6,1.11410E-16,2.88859E-15
2.7,1.00808E-16,2.89919E-15
2.8,9.12151E-17,2.90878E-15
2.9,8.25348E-17,2.91747E-15
3,7.46806E-17,2.92532E-15
3.1,6.75738E-17,2.93243E-15
3.2,6.11433E-17,2.93886E-15
3.3,5.53248E-17,2.94468E-15
3.4,5.00599E-17,2.94994E-15
3.5,4.52961E-17,2.95470E-15
3.6,4.09856E-17,2.95901E-15
3.7,3.70853E-17,2.96291E-15
3.8,3.35562E-17,2.96644E-15
3.9,3.03629E-17,2.96964E-15
4,2.74735E-17,2.97253E-15
4.1,2.48590E-17,2.97514E-15
4.2,2.24934E-17,2.97751E-15
4.3,2.03528E-17,2.97965E-15
4.4,1.84160E-17,2.98158E-15
4.5,1.66635E-17,2.98334E-15
4.6,1.50778E-17,2.98492E-15
4.7,1.36429E-17,2.98636E-15
4.8,1.23446E-17,2.98766E-15
4.9,1.11699E-17,2.98883E-15
5,1.01069E-17,2.98989E-15
