time,A1,A2,A3,A4
0,2,3,4,1
0.02,2.03688716,3,3.96311284,1
0.04,2.070455571,3,3.929544429,1
0.06,2.100933858,3,3.899066142,1
0.08,2.129413904,3,3.870586096,1
0.1,2.155305886,3,3.844694114,1
0.12,2.178609802,3,3.821390198,1
0.14,2.199972051,3,3.800027949,1
0.16,2.219503786,3,3.780496214,1
0.18,2.236944397,3,3.763055603,1
0.2,2.252576598,3,3.747423402,1
0.22,2.267109937,3,3.732890063,1
0.24,2.280067175,3,3.719932825,1
0.26,2.291448313,3,3.708551687,1
0.28,2.302146722,3,3.697853278,1
0.3,2.31174105,3,3.68825895,1
0.32,2.320196072,3,3.679803928,1
0.34,2.327724554,3,3.672275446,1
0.36,2.334554376,3,3.665445624,1
0.38,2.340708296,3,3.659291704,1
0.4,2.34628911,3,3.65371089,1
0.42,2.351399616,3,3.648600384,1
0.44,2.355955876,3,3.644044124,1
0.46,2.35997969,3,3.64002031,1
0.48,2.363634524,3,3.636365476,1
0.5,2.36699181,3,3.63300819,1
0.52,2.370122979,3,3.629877021,1
0.54,2.372920769,3,3.627079231,1
0.56,2.3753791,3,3.6246209,1
0.58,2.377627461,3,3.622372539,1
0.6,2.379707269,3,3.620292731,1
0.62,2.381659938,3,3.618340062,1
0.64,2.383409878,3,3.616590122,1
0.66,2.384947752,3,3.615052248,1
0.68,2.38635299,3,3.61364701,1
0.7,2.387647357,3,3.612352643,1
0.72,2.388852612,3,3.611147388,1
0.74,2.389933368,3,3.610066632,1
0.76,2.390886597,3,3.609113403,1
0.78,2.391752628,3,3.608247372,1
0.8,2.392543625,3,3.607456375,1
0.82,2.393271751,3,3.606728249,1
0.84,2.393923506,3,3.606076494,1
0.86,2.394499923,3,3.605500077,1
0.88,2.395021501,3,3.604978499,1
0.9,2.395496094,3,3.604503906,1
0.92,2.395931552,3,3.604068448,1
0.94,2.396324902,3,3.603675098,1
0.96,2.39667622,3,3.60332378,1
0.98,2.396994832,3,3.603005168,1
1,2.397285298,3,3.602714702,1
