time,S1,S2
0,1.5e-015,0
0.1,1.35726e-015,1.42744e-016
0.2,1.2281e-015,2.71904e-016
0.3,1.11123e-015,3.88773e-016
0.4,1.00548e-015,4.9452e-016
0.5,9.09796e-016,5.90204e-016
0.6,8.23217e-016,6.76783e-016
0.7,7.44878e-016,7.55122e-016
0.8,6.73993e-016,8.26007e-016
0.9,6.09854e-016,8.90146e-016
1,5.51819e-016,9.48181e-016
1.1,4.99307e-016,1.00069e-015
1.2,4.51791e-016,1.04821e-015
1.3,4.08798e-016,1.0912e-015
1.4,3.69895e-016,1.1301e-015
1.5,3.34695e-016,1.1653e-015
1.6,3.02845e-016,1.19716e-015
1.7,2.74025e-016,1.22597e-015
1.8,2.47948e-016,1.25205e-015
1.9,2.24353e-016,1.27565e-015
2,2.03003e-016,1.297e-015
2.1,1.83685e-016,1.31632e-015
2.2,1.66205e-016,1.3338e-015
2.3,1.50388e-016,1.34961e-015
2.4,1.36077e-016,1.36392e-015
2.5,1.23127e-016,1.37687e-015
2.6,1.1141e-016,1.38859e-015
2.7,1.00808e-016,1.39919e-015
2.8,9.12151e-017,1.40878e-015
2.9,8.25348e-017,1.41747e-015
3,7.46806e-017,1.42532e-015
3.1,6.75738e-017,1.43243e-015
3.2,6.11433e-017,1.43886e-015
3.3,5.53248e-017,1.44468e-015
3.4,5.00599e-017,1.44994e-015
3.5,4.52961e-017,1.4547e-015
3.6,4.09856e-017,1.45901e-015
3.7,3.70853e-017,1.46291e-015
3.8,3.35562e-017,1.46644e-015
3.9,3.03629e-017,1.46964e-015
4,2.74735e-017,1.47253e-015
4.1,2.4859e-017,1.47514e-015
4.2,2.24934e-017,1.47751e-015
4.3,2.03528e-017,1.47965e-015
4.4,1.8416e-017,1.48158e-015
4.5,1.66635e-017,1.48334e-015
4.6,1.50778e-017,1.48492e-015
4.7,1.36429e-017,1.48636e-015
4.8,1.23446e-017,1.48766e-015
4.9,1.11699e-017,1.48883e-015
5,1.01069e-017,1.48989e-015
