time,S1,S2,S3,S4,k1,k2,k3,k4,k5,kavo,comp,comp2
0,1,3,4,2,1.1,8.12,2.5,1,2.8,1.000023545,5,1
0.009950249,0.740404306,3.044986745,4,2,1.1,8.12,2.5,1.000049504,2.8,1.000023545,5.009950249,1.000049504
0.019900498,0.480956856,3.076124194,4,2,1.1,8.12,2.5,1.000198015,2.8,1.000023545,5.019900498,1.000198015
0.029850746,0.221800746,3.093479511,4,2,1.1,8.12,2.5,1.000445534,2.8,1.000023545,5.029850746,1.000445534
0.039800995,-0.036922161,3.097156967,4,2,1.1,8.12,2.5,1.00079206,2.8,1.000023545,5.039800995,1.00079206
0.049751244,-0.295071631,3.087297113,4,2,1.1,8.12,2.5,1.001237593,2.8,1.000023545,5.049751244,1.001237593
0.059701493,-0.552509444,3.064075768,4,2,1.1,8.12,2.5,1.001782134,2.8,1.000023545,5.059701493,1.001782134
0.069651741,-0.809099767,3.027702796,4,2,1.1,8.12,2.5,1.002425683,2.8,1.000023545,5.069651741,1.002425683
0.07960199,-1.064709512,2.978420719,4,2,1.1,8.12,2.5,1.003168238,2.8,1.000023545,5.07960199,1.003168238
0.089552239,-1.319208675,2.916503159,4,2,1.1,8.12,2.5,1.004009802,2.8,1.000023545,5.089552239,1.004009802
0.099502488,-1.57247066,2.842253125,4,2,1.1,8.12,2.5,1.004950373,2.8,1.000023545,5.099502488,1.004950373
0.109452736,-1.82437258,2.756001182,4,2,1.1,8.12,2.5,1.005989951,2.8,1.000023545,5.109452736,1.005989951
0.119402985,-2.074795538,2.658103492,4,2,1.1,8.12,2.5,1.007128536,2.8,1.000023545,5.119402985,1.007128536
0.129353234,-2.323624887,2.548939764,4,2,1.1,8.12,2.5,1.00836613,2.8,1.000023545,5.129353234,1.00836613
0.139303483,-2.570750461,2.428911128,4,2,1.1,8.12,2.5,1.00970273,2.8,1.000023545,5.139303483,1.00970273
0.149253731,-2.816066793,2.298437944,4,2,1.1,8.12,2.5,1.011138338,2.8,1.000023545,5.149253731,1.011138338
0.15920398,-3.059473294,2.157957578,4,2,1.1,8.12,2.5,1.012672954,2.8,1.000023545,5.15920398,1.012672954
0.169154229,-3.30087442,2.00792215,4,2,1.1,8.12,2.5,1.014306577,2.8,1.000023545,5.169154229,1.014306577
0.179104478,-3.540179807,1.848796276,4,2,1.1,8.12,2.5,1.016039207,2.8,1.000023545,5.179104478,1.016039207
0.189054726,-3.777304386,1.681054829,4,2,1.1,8.12,2.5,1.017870845,2.8,1.000023545,5.189054726,1.017870845
0.199004975,-4.012168464,1.505180726,4,2,1.1,8.12,2.5,1.01980149,2.8,1.000023545,5.199004975,1.01980149
0.208955224,-4.244697795,1.321662749,4,2,1.1,8.12,2.5,1.021831143,2.8,1.000023545,5.208955224,1.021831143
0.218905473,-4.474823617,1.130993441,4,2,1.1,8.12,2.5,1.023959803,2.8,1.000023545,5.218905473,1.023959803
0.228855721,-4.702482669,0.933667053,4,2,1.1,8.12,2.5,1.026187471,2.8,1.000023545,5.228855721,1.026187471
0.23880597,-4.927617187,0.730177587,4,2,1.1,8.12,2.5,1.028514146,2.8,1.000023545,5.23880597,1.028514146
0.248756219,-5.150174881,0.521016919,4,2,1.1,8.12,2.5,1.030939828,2.8,1.000023545,5.248756219,1.030939828
0.258706468,-5.370108887,0.306673031,4,2,1.1,8.12,2.5,1.033464518,2.8,1.000023545,5.258706468,1.033464518
0.268656716,-5.587377703,0.08762834,4,2,1.1,8.12,2.5,1.036088216,2.8,1.000023545,5.268656716,1.036088216
0.278606965,-5.801945112,-0.135641853,4,2,1.1,8.12,2.5,1.038810921,2.8,1.000023545,5.278606965,1.038810921
0.288557214,-6.013780082,-0.362670803,4,2,1.1,8.12,2.5,1.041632633,2.8,1.000023545,5.288557214,1.041632633
0.298507463,-6.222856656,-0.593001635,4,2,1.1,8.12,2.5,1.044553353,2.8,1.000023545,5.298507463,1.044553353
0.308457711,-6.429153822,-0.826188546,4,2,1.1,8.12,2.5,1.04757308,2.8,1.000023545,5.308457711,1.04757308
0.31840796,-6.632655383,-1.061797875,4,2,1.1,8.12,2.5,1.050691815,2.8,1.000023545,5.31840796,1.050691815
0.328358209,-6.833349805,-1.299409059,4,2,1.1,8.12,2.5,1.053909557,2.8,1.000023545,5.328358209,1.053909557
0.338308458,-7.031230059,-1.538615464,4,2,1.1,8.12,2.5,1.057226306,2.8,1.000023545,5.338308458,1.057226306
0.348258706,-7.226293456,-1.779025105,4,2,1.1,8.12,2.5,1.060642063,2.8,1.000023545,5.348258706,1.060642063
0.358208955,-7.418541479,-2.020261242,4,2,1.1,8.12,2.5,1.064156828,2.8,1.000023545,5.358208955,1.064156828
0.368159204,-7.607979597,-2.261962875,4,2,1.1,8.12,2.5,1.0677706,2.8,1.000023545,5.368159204,1.0677706
0.378109453,-7.794617092,-2.503785126,4,2,1.1,8.12,2.5,1.071483379,2.8,1.000023545,5.378109453,1.071483379
0.388059701,-7.978466867,-2.745399526,4,2,1.1,8.12,2.5,1.075295166,2.8,1.000023545,5.388059701,1.075295166
0.39800995,-8.159545263,-2.986494202,4,2,1.1,8.12,2.5,1.07920596,2.8,1.000023545,5.39800995,1.07920596
0.407960199,-8.337871865,-3.226773979,4,2,1.1,8.12,2.5,1.083215762,2.8,1.000023545,5.407960199,1.083215762
0.417910448,-8.513469321,-3.465960391,4,2,1.1,8.12,2.5,1.087324571,2.8,1.000023545,5.417910448,1.087324571
0.427860697,-8.686363148,-3.703791623,4,2,1.1,8.12,2.5,1.091532388,2.8,1.000023545,5.427860697,1.091532388
0.437810945,-8.856581547,-3.940022377,4,2,1.1,8.12,2.5,1.095839212,2.8,1.000023545,5.437810945,1.095839212
0.447761194,-9.024155218,-4.174423672,4,2,1.1,8.12,2.5,1.100245043,2.8,1.000023545,5.447761194,1.100245043
