time,a_sbml,a_truncated,a_1865,a_1873,a_1890a,a_1890b,a_1901,a_1903,a_1904,a_1908,a_1909,a_1914a,a_1914b,a_1915,a_1917,a_1923,a_1924,a_1929,a_1931,a_1941,a_1945,a_1948,a_1949,a_1951,a_1965a,a_1965b,a_1973,a_1974,a_1987a,a_1987b,a_1992,a_1994,a_1995,a_1999,a_2000,a_2001,a_2002,a_2003,a_2006,a_2011,a_2015
0,0,2.1E+16,6.597785821E+24,4.97785821E+23,9.7785821E+22,5.785821E+21,1.3785821E+22,3.27785821E+23,2.67785821E+23,-2.214179E+21,1.3785821E+22,-2.214179E+21,-1.1214179E+22,3.785821E+21,4.185821E+21,-1.2214179E+22,-1.814179E+21,4.225821E+21,-3.14179E+20,6.8821E+19,1.23821E+20,1.05821E+20,1.88821E+20,3.29821E+20,-5.379E+18,3.7821E+19,-9.679E+18,-4.749E+18,-7.79E+17,-5.09E+17,-5.49E+17,-3.89E+17,-5.29E+17,1.321E+18,2E+16,-7.89E+17,-2.9E+16,-6.49E+17,0,-5E+16,-9.33E+16
1,0,2.1E+16,6.597785821E+24,4.97785821E+23,9.7785821E+22,5.785821E+21,1.3785821E+22,3.27785821E+23,2.67785821E+23,-2.214179E+21,1.3785821E+22,-2.214179E+21,-1.1214179E+22,3.785821E+21,4.185821E+21,-1.2214179E+22,-1.814179E+21,4.225821E+21,-3.14179E+20,6.8821E+19,1.23821E+20,1.05821E+20,1.88821E+20,3.29821E+20,-5.379E+18,3.7821E+19,-9.679E+18,-4.749E+18,-7.79E+17,-5.09E+17,-5.49E+17,-3.89E+17,-5.29E+17,1.321E+18,2E+16,-7.89E+17,-2.9E+16,-6.49E+17,0,-5E+16,-9.33E+16
2,0,2.1E+16,6.597785821E+24,4.97785821E+23,9.7785821E+22,5.785821E+21,1.3785821E+22,3.27785821E+23,2.67785821E+23,-2.214179E+21,1.3785821E+22,-2.214179E+21,-1.1214179E+22,3.785821E+21,4.185821E+21,-1.2214179E+22,-1.814179E+21,4.225821E+21,-3.14179E+20,6.8821E+19,1.23821E+20,1.05821E+20,1.88821E+20,3.29821E+20,-5.379E+18,3.7821E+19,-9.679E+18,-4.749E+18,-7.79E+17,-5.09E+17,-5.49E+17,-3.89E+17,-5.29E+17,1.321E+18,2E+16,-7.89E+17,-2.9E+16,-6.49E+17,0,-5E+16,-9.33E+16
3,0,2.1E+16,6.597785821E+24,4.97785821E+23,9.7785821E+22,5.785821E+21,1.3785821E+22,3.27785821E+23,2.67785821E+23,-2.214179E+21,1.3785821E+22,-2.214179E+21,-1.1214179E+22,3.785821E+21,4.185821E+21,-1.2214179E+22,-1.814179E+21,4.225821E+21,-3.14179E+20,6.8821E+19,1.23821E+20,1.05821E+20,1.88821E+20,3.29821E+20,-5.379E+18,3.7821E+19,-9.679E+18,-4.749E+18,-7.79E+17,-5.09E+17,-5.49E+17,-3.89E+17,-5.29E+17,1.321E+18,2E+16,-7.89E+17,-2.9E+16,-6.49E+17,0,-5E+16,-9.33E+16
4,0,2.1E+16,6.597785821E+24,4.97785821E+23,9.7785821E+22,5.785821E+21,1.3785821E+22,3.27785821E+23,2.67785821E+23,-2.214179E+21,1.3785821E+22,-2.214179E+21,-1.1214179E+22,3.785821E+21,4.185821E+21,-1.2214179E+22,-1.814179E+21,4.225821E+21,-3.14179E+20,6.8821E+19,1.23821E+20,1.05821E+20,1.88821E+20,3.29821E+20,-5.379E+18,3.7821E+19,-9.679E+18,-4.749E+18,-7.79E+17,-5.09E+17,-5.49E+17,-3.89E+17,-5.29E+17,1.321E+18,2E+16,-7.89E+17,-2.9E+16,-6.49E+17,0,-5E+16,-9.33E+16
5,0,2.1E+16,6.597785821E+24,4.97785821E+23,9.7785821E+22,5.785821E+21,1.3785821E+22,3.27785821E+23,2.67785821E+23,-2.214179E+21,1.3785821E+22,-2.214179E+21,-1.1214179E+22,3.785821E+21,4.185821E+21,-1.2214179E+22,-1.814179E+21,4.225821E+21,-3.14179E+20,6.8821E+19,1.23821E+20,1.05821E+20,1.88821E+20,3.29821E+20,-5.379E+18,3.7821E+19,-9.679E+18,-4.749E+18,-7.79E+17,-5.09E+17,-5.49E+17,-3.89E+17,-5.29E+17,1.321E+18,2E+16,-7.89E+17,-2.9E+16,-6.49E+17,0,-5E+16,-9.33E+16
6,0,2.1E+16,6.597785821E+24,4.97785821E+23,9.7785821E+22,5.785821E+21,1.3785821E+22,3.27785821E+23,2.67785821E+23,-2.214179E+21,1.3785821E+22,-2.214179E+21,-1.1214179E+22,3.785821E+21,4.185821E+21,-1.2214179E+22,-1.814179E+21,4.225821E+21,-3.14179E+20,6.8821E+19,1.23821E+20,1.05821E+20,1.88821E+20,3.29821E+20,-5.379E+18,3.7821E+19,-9.679E+18,-4.749E+18,-7.79E+17,-5.09E+17,-5.49E+17,-3.89E+17,-5.29E+17,1.321E+18,2E+16,-7.89E+17,-2.9E+16,-6.49E+17,0,-5E+16,-9.33E+16
7,0,2.1E+16,6.597785821E+24,4.97785821E+23,9.7785821E+22,5.785821E+21,1.3785821E+22,3.27785821E+23,2.67785821E+23,-2.214179E+21,1.3785821E+22,-2.214179E+21,-1.1214179E+22,3.785821E+21,4.185821E+21,-1.2214179E+22,-1.814179E+21,4.225821E+21,-3.14179E+20,6.8821E+19,1.23821E+20,1.05821E+20,1.88821E+20,3.29821E+20,-5.379E+18,3.7821E+19,-9.679E+18,-4.749E+18,-7.79E+17,-5.09E+17,-5.49E+17,-3.89E+17,-5.29E+17,1.321E+18,2E+16,-7.89E+17,-2.9E+16,-6.49E+17,0,-5E+16,-9.33E+16
8,0,2.1E+16,6.597785821E+24,4.97785821E+23,9.7785821E+22,5.785821E+21,1.3785821E+22,3.27785821E+23,2.67785821E+23,-2.214179E+21,1.3785821E+22,-2.214179E+21,-1.1214179E+22,3.785821E+21,4.185821E+21,-1.2214179E+22,-1.814179E+21,4.225821E+21,-3.14179E+20,6.8821E+19,1.23821E+20,1.05821E+20,1.88821E+20,3.29821E+20,-5.379E+18,3.7821E+19,-9.679E+18,-4.749E+18,-7.79E+17,-5.09E+17,-5.49E+17,-3.89E+17,-5.29E+17,1.321E+18,2E+16,-7.89E+17,-2.9E+16,-6.49E+17,0,-5E+16,-9.33E+16
9,0,2.1E+16,6.597785821E+24,4.97785821E+23,9.7785821E+22,5.785821E+21,1.3785821E+22,3.27785821E+23,2.67785821E+23,-2.214179E+21,1.3785821E+22,-2.214179E+21,-1.1214179E+22,3.785821E+21,4.185821E+21,-1.2214179E+22,-1.814179E+21,4.225821E+21,-3.14179E+20,6.8821E+19,1.23821E+20,1.05821E+20,1.88821E+20,3.29821E+20,-5.379E+18,3.7821E+19,-9.679E+18,-4.749E+18,-7.79E+17,-5.09E+17,-5.49E+17,-3.89E+17,-5.29E+17,1.321E+18,2E+16,-7.89E+17,-2.9E+16,-6.49E+17,0,-5E+16,-9.33E+16
