time,pp9_mrna,p9,pp8_mrna,p8,pp7_mrna,p7,pp6_mrna,p6,pp5_mrna,p5,pp4_mrna,p4,pp3_mrna,p3,pp2_mrna,p2,pp1_mrna,p1,DefaultCompartment,pp8_mrna_degradation_rate,pp9_mrna_degradation_rate,p1_degradation_rate,p2_degradation_rate,p3_degradation_rate,p4_degradation_rate,p5_degradation_rate,p6_degradation_rate,p7_degradation_rate,p8_degradation_rate,p9_degradation_rate,v1_Kd,v1_h,v2_Kd,v2_h,v3_Kd,v3_h,v4_Kd,v4_h,v5_Kd,v5_h,v6_Kd,v6_h,v7_Kd,v7_h,v8_Kd,v8_h,v9_Kd,v9_h,pp1_mrna_degradation_rate,pp2_mrna_degradation_rate,pro1_strength,pro2_strength,pro3_strength,pro4_strength,pro5_strength,pro6_strength,pro7_strength,pro8_strength,pro9_strength,pp3_mrna_degradation_rate,v10_Kd,v10_h,v11_Kd,v11_h,v12_Kd,v12_h,v13_Kd,v13_h,pp4_mrna_degradation_rate,v14_Kd,v14_h,v15_Kd,v15_h,pp5_mrna_degradation_rate,rbs1_strength,rbs2_strength,rbs3_strength,rbs4_strength,rbs5_strength,rbs6_strength,rbs7_strength,rbs8_strength,rbs9_strength,pp6_mrna_degradation_rate,pp7_mrna_degradation_rate,as8,cod1,cod2,cod3,cod4,cod5,cod6,cod7,cod8,cod9,rs1,rs2,rs3,rs4,rs5,rs6,rs7,as1,as2,as3,as4,as5,as6,as7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1,1,4,20,1,0.2,4,0.2,4,0.04,4,0.02,4,0.04,4,0.2,4,1,1,2,4.5077,5,5,5,1.31,1.31,5,5,1,0.02,4,0.1,2,0.1,2,0.01,2,1,1,4,20,1,1,0.3668,1.4102,0.8,2.21,0.5,2,5,3.6377,8,1,1,0,2,1.39583,5,5,0,0,0,0,0,1,1,1,1,1,1,1,0.309655,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0.00026693,1.35E-06,0.475656,0.0525577,0.475656,0.0190254,0.130538,0.00925619,0.190325,4.75964,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1,1,4,20,1,0.2,4,0.2,4,0.04,4,0.02,4,0.04,4,0.2,4,1,1,2,4.5077,5,5,5,1.31,1.31,5,5,1,0.02,4,0.1,2,0.1,2,0.01,2,1,1,4,20,1,1,0.3668,1.4102,0.8,2.21,0.5,2,5,3.6377,8,1,1,0,2,1.34881,4.99525,4.99525,0.0237317,0,0,0,0,1,1,0.99905,1,1,1,0.99905,0.299223,0.00474635,0,0,0,0,0
0.2,0,0,0,0,3.37E-12,9.27E-14,3.37E-12,3.71E-14,0.0764698,0.000919937,0.905172,0.200005,0.905172,0.0724001,0.24429,0.0348308,0.362538,4.53747,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1,1,4,20,1,0.2,4,0.2,4,0.04,4,0.02,4,0.04,4,0.2,4,1,1,2,4.5077,5,5,5,1.31,1.31,5,5,1,0.02,4,0.1,2,0.1,2,0.01,2,1,1,4,20,1,1,0.3668,1.4102,0.8,2.21,0.5,2,5,3.6377,8,1,1,4.48E-10,2,1.30406,4.98196,4.98196,2.50013,5.86E-10,5.86E-10,0,0,1,0.999999,0.996393,1,1,0.999999,0.996393,0.289297,0.500026,4.48E-10,0,0,0,0
0.3,0,0,0,0,3.26E-07,2.00E-08,3.26E-07,8.01E-09,0.453321,0.0131454,1.29219,0.428168,1.29219,0.154993,0.343066,0.0737467,0.518364,4.33201,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1,1,4,20,1,0.2,4,0.2,4,0.04,4,0.02,4,0.04,4,0.2,4,1,1,2,4.5077,5,5,5,1.31,1.31,5,5,1,0.02,4,0.1,2,0.1,2,0.01,2,1,1,4,20,1,1,0.3668,1.4102,0.8,2.21,0.5,2,5,3.6377,8,1,1,1.87E-05,2,1.26154,4.9614,4.9614,4.77279,2.44E-05,2.44E-05,0,0,1,0.99997,0.99231,1,1,0.99997,0.99231,0.279863,0.954557,1.87E-05,0,0,0,0
0.4,9.01E-16,3.73E-17,9.01E-16,1.70E-17,8.00E-05,8.60E-06,8.00E-05,3.44E-06,0.877385,0.0451395,1.6401,0.724323,1.6401,0.262198,0.428501,0.123409,0.65936,4.14186,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1,1,4,20,1,0.2,4,0.2,4,0.04,4,0.02,4,0.04,4,0.2,4,1,1,2,4.5077,5,5,5,1.31,1.31,5,5,1,0.02,4,0.1,2,0.1,2,0.01,2,1,1,4,20,1,1,0.3668,1.4102,0.8,2.21,0.5,2,5,3.6377,8,1,1,0.00258811,2,1.22117,4.93415,4.93415,4.9711,0.00339043,0.00339043,1.71E-13,1.71E-13,1,0.999768,0.98706,1,1,0.999768,0.98706,0.270907,0.994221,0.00258811,0,3.42E-14,3.42E-14,0
0.5,4.47E-09,2.74E-10,4.47E-09,1.25E-10,0.00229634,0.000367351,0.00229634,0.000146941,1.26838,0.0954928,1.95194,1.07706,1.95194,0.389886,0.502065,0.181561,0.786939,3.96579,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1,1,4,20,1,0.2,4,0.2,4,0.04,4,0.02,4,0.04,4,0.2,4,1,1,2,4.5077,5,5,5,1.31,1.31,5,5,1,0.02,4,0.1,2,0.1,2,0.01,2,1,1,4,20,1,1,0.3668,1.4102,0.8,2.21,0.5,2,5,3.6377,8,1,1,0.0494036,2,1.18288,4.89907,4.89907,4.99406,0.0647187,0.0647187,5.69E-07,5.69E-07,1,0.998915,0.980878,1,1,0.998915,0.980878,0.262413,0.998812,0.0494036,1.82E-10,1.14E-07,1.14E-07,1.82E-10
0.6,0.000191824,1.65E-05,0.000191824,7.52E-06,0.0211439,0.00484834,0.0211439,0.00193933,1.62318,0.161562,2.23025,1.47614,2.23025,0.534348,0.565082,0.24625,0.902377,3.80265,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1,1,4,20,1,0.2,4,0.2,4,0.04,4,0.02,4,0.04,4,0.2,4,1,1,2,4.5077,5,5,5,1.31,1.31,5,5,1,0.02,4,0.1,2,0.1,2,0.01,2,1,1,4,20,1,1,0.3668,1.4102,0.8,2.21,0.5,2,5,3.6377,8,1,1,0.298653,2,1.14659,4.85205,4.85205,4.99832,0.391243,0.391243,0.0172078,0.0172078,0.999997,0.996336,0.973978,1,1,0.996336,0.973978,0.254364,0.999663,0.298653,5.53E-06,0.00344155,0.00344155,5.53E-06
0.7,0.122922,0.0219471,0.122922,0.00997964,0.0813564,0.027896,0.0813564,0.0111584,1.94443,0.240875,2.47671,1.91226,2.47671,0.692219,0.600401,0.315443,1.00683,3.65139,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1,1,4,20,1,0.2,4,0.2,4,0.04,4,0.02,4,0.04,4,0.2,4,1,1,2,4.5077,5,5,5,1.31,1.31,5,5,1,0.02,4,0.1,2,0.1,2,0.01,2,1,1,4,20,1,1,0.3668,1.4102,0.8,2.21,0.5,2,5,3.6377,8,1,1,0.677835,2,0.191213,4.78535,4.78535,4.9994,0.89585,0.89585,3.91604,3.91604,0.171917,0.990196,0.966547,0.990139,0.990139,0.990196,0.966547,0.246743,0.99988,0.677835,0.00601932,0.791007,0.791007,0.00601932
0.8,0.451889,0.264015,0.451889,0.120051,0.187944,0.0898412,0.187944,0.0359365,2.23517,0.331225,2.69227,2.37686,2.69227,0.860403,0.545907,0.378932,1.10134,3.51107,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1,1,4,20,1,0.2,4,0.2,4,0.04,4,0.02,4,0.04,4,0.2,4,1,1,2,4.5077,5,5,5,1.31,1.31,5,5,1,0.02,4,0.1,2,0.1,2,0.01,2,1,1,4,20,1,1,0.3668,1.4102,0.8,2.21,0.5,2,5,3.6377,8,1,1,0.882666,2,0.00154681,4.69693,4.69693,4.99975,1.67307,1.67307,2.04314,2.04314,0.00143258,0.979799,0.958754,0.409631,0.409631,0.979799,0.958754,0.239531,0.99995,0.882666,0.394483,0.99755,0.99755,0.394483
0.9,0.51019,0.63637,0.51019,0.289365,0.381286,0.22207,0.381286,0.0888281,2.49826,0.430657,2.87814,2.86202,2.87814,1.03603,0.494017,0.431885,1.18686,3.3808,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1,1,4,20,1,0.2,4,0.2,4,0.04,4,0.02,4,0.04,4,0.2,4,1,1,2,4.5077,5,5,5,1.31,1.31,5,5,1,0.02,4,0.1,2,0.1,2,0.01,2,1,1,4,20,1,1,0.3668,1.4102,0.8,2.21,0.5,2,5,3.6377,8,1,1,0.955553,2,0.00025897,4.59392,4.59392,4.99988,2.51004,2.51004,0.533399,0.533399,0.000246873,0.966378,0.95075,0.106687,0.106687,0.966378,0.95075,0.232713,0.999976,0.955553,0.960505,0.999934,0.999934,0.960505
