time,S1,S2,C,P0,P1,P2,P3
0,5,1,1,-1,0,1.5,0
1,4.093653765,2.359519352,1,-0.818730753,-1,1.22809613,1.5
2,3.35160023,3.472599655,1,-0.670320046,-0.818730753,1.005480069,1.22809613
3,2.744058181,4.383912729,1,-0.548811636,-0.670320046,0.823217454,1.005480069
4,2.246644821,5.130032769,1,-0.449328964,-0.548811636,0.673993446,0.823217454
5,1.839397206,5.740904191,1,-0.367879441,-0.449328964,0.551819162,0.673993446
6,1.50597106,6.241043411,1,-0.301194212,-0.367879441,0.451791318,0.551819162
7,1.23298482,6.65052277,1,-0.246596964,-0.301194212,0.369895446,0.451791318
8,1.00948259,6.985776115,1,-0.201896518,-0.246596964,0.302844777,0.369895446
9,0.826494441,7.260258338,1,-0.165298888,-0.201896518,0.247948332,0.302844777
10,0.676676416,7.484985376,1,-0.135335283,-0.165298888,0.203002925,0.247948332
