Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,S1,C
0,15.15426224,1,1,3.14159265,1.04719755,1.57079633,-0.52359878,1.22777239,-1.43067687,1,4,-4,-0.94772160,0.97589745,1,2.71828183,2.15976625,-5,9,-1.60943791,0,-0.69897,0,1,4,5.56228173,16,9.61,2,2.72029410,0.86320937,0,0.37387666,0,2.01433821,0.29100619,1.13949393,-1.02298638,4.93315488,0.30452029,2.82831546,1.12099947,1.14109666,-1.47112767,5.28829254,0.80288197,-0.86730053,1.51330669,5.29834237,0,1
1,15.15426224,1,1,3.14159265,1.04719755,1.57079633,-0.52359878,1.22777239,-1.43067687,1,4,-4,-0.94772160,0.97589745,1,2.71828183,2.15976625,-5,9,-1.60943791,0,-0.69897,0,1,4,5.56228173,16,9.61,2,2.72029410,0.86320937,0,0.37387666,0,2.01433821,0.29100619,1.13949393,-1.02298638,4.93315488,0.30452029,2.82831546,1.12099947,1.14109666,-1.47112767,5.28829254,0.80288197,-0.86730053,1.51330669,5.29834237,2,1
2,15.15426224,1,1,3.14159265,1.04719755,1.57079633,-0.52359878,1.22777239,-1.43067687,1,4,-4,-0.94772160,0.97589745,1,2.71828183,2.15976625,-5,9,-1.60943791,0,-0.69897,0,1,4,5.56228173,16,9.61,2,2.72029410,0.86320937,0,0.37387666,0,2.01433821,0.29100619,1.13949393,-1.02298638,4.93315488,0.30452029,2.82831546,1.12099947,1.14109666,-1.47112767,5.28829254,0.80288197,-0.86730053,1.51330669,5.29834237,4,1
3,15.15426224,1,1,3.14159265,1.04719755,1.57079633,-0.52359878,1.22777239,-1.43067687,1,4,-4,-0.94772160,0.97589745,1,2.71828183,2.15976625,-5,9,-1.60943791,0,-0.69897,0,1,4,5.56228173,16,9.61,2,2.72029410,0.86320937,0,0.37387666,0,2.01433821,0.29100619,1.13949393,-1.02298638,4.93315488,0.30452029,2.82831546,1.12099947,1.14109666,-1.47112767,5.28829254,0.80288197,-0.86730053,1.51330669,5.29834237,6,1
4,15.15426224,1,1,3.14159265,1.04719755,1.57079633,-0.52359878,1.22777239,-1.43067687,1,4,-4,-0.94772160,0.97589745,1,2.71828183,2.15976625,-5,9,-1.60943791,0,-0.69897,0,1,4,5.56228173,16,9.61,2,2.72029410,0.86320937,0,0.37387666,0,2.01433821,0.29100619,1.13949393,-1.02298638,4.93315488,0.30452029,2.82831546,1.12099947,1.14109666,-1.47112767,5.28829254,0.80288197,-0.86730053,1.51330669,5.29834237,8,1
5,15.15426224,1,1,3.14159265,1.04719755,1.57079633,-0.52359878,1.22777239,-1.43067687,1,4,-4,-0.94772160,0.97589745,1,2.71828183,2.15976625,-5,9,-1.60943791,0,-0.69897,0,1,4,5.56228173,16,9.61,2,2.72029410,0.86320937,0,0.37387666,0,2.01433821,0.29100619,1.13949393,-1.02298638,4.93315488,0.30452029,2.82831546,1.12099947,1.14109666,-1.47112767,5.28829254,0.80288197,-0.86730053,1.51330669,5.29834237,10,1
6,15.15426224,1,1,3.14159265,1.04719755,1.57079633,-0.52359878,1.22777239,-1.43067687,1,4,-4,-0.94772160,0.97589745,1,2.71828183,2.15976625,-5,9,-1.60943791,0,-0.69897,0,1,4,5.56228173,16,9.61,2,2.72029410,0.86320937,0,0.37387666,0,2.01433821,0.29100619,1.13949393,-1.02298638,4.93315488,0.30452029,2.82831546,1.12099947,1.14109666,-1.47112767,5.28829254,0.80288197,-0.86730053,1.51330669,5.29834237,12,1
7,15.15426224,1,1,3.14159265,1.04719755,1.57079633,-0.52359878,1.22777239,-1.43067687,1,4,-4,-0.94772160,0.97589745,1,2.71828183,2.15976625,-5,9,-1.60943791,0,-0.69897,0,1,4,5.56228173,16,9.61,2,2.72029410,0.86320937,0,0.37387666,0,2.01433821,0.29100619,1.13949393,-1.02298638,4.93315488,0.30452029,2.82831546,1.12099947,1.14109666,-1.47112767,5.28829254,0.80288197,-0.86730053,1.51330669,5.29834237,14,1
8,15.15426224,1,1,3.14159265,1.04719755,1.57079633,-0.52359878,1.22777239,-1.43067687,1,4,-4,-0.94772160,0.97589745,1,2.71828183,2.15976625,-5,9,-1.60943791,0,-0.69897,0,1,4,5.56228173,16,9.61,2,2.72029410,0.86320937,0,0.37387666,0,2.01433821,0.29100619,1.13949393,-1.02298638,4.93315488,0.30452029,2.82831546,1.12099947,1.14109666,-1.47112767,5.28829254,0.80288197,-0.86730053,1.51330669,5.29834237,16,1
9,15.15426224,1,1,3.14159265,1.04719755,1.57079633,-0.52359878,1.22777239,-1.43067687,1,4,-4,-0.94772160,0.97589745,1,2.71828183,2.15976625,-5,9,-1.60943791,0,-0.69897,0,1,4,5.56228173,16,9.61,2,2.72029410,0.86320937,0,0.37387666,0,2.01433821,0.29100619,1.13949393,-1.02298638,4.93315488,0.30452029,2.82831546,1.12099947,1.14109666,-1.47112767,5.28829254,0.80288197,-0.86730053,1.51330669,5.29834237,18,1
