time,P-mean,P2-mean,P-sd,P2-sd
0,100,0,0,0
1,91.031766,4.484117,3.862504,1.931252
2,83.61694,8.19153,4.815194,2.407597
3,77.396987,11.301506,5.26609,2.633045
4,72.11532,13.94234,5.489485,2.744742
5,67.58357,16.208215,5.592782,2.796391
6,63.660652,18.169674,5.628553,2.814277
7,60.241525,19.879237,5.629354,2.814677
8,57.259404,21.370298,5.644596,2.822298
9,54.705487,22.647257,5.819744,2.909872
10,52.65165,23.674175,6.461539,3.230769
11,51.241282,24.379359,7.869708,3.934854
12,50.629007,24.685496,10.018325,5.009163
13,50.894888,24.552556,12.560974,6.280487
14,51.9837,24.00815,15.061078,7.530539
15,53.701505,23.149247,17.154083,8.577042
16,55.763834,22.118083,18.618783,9.309391
17,57.865479,21.067261,19.389595,9.694797
18,59.741684,20.129158,19.529099,9.764549
19,61.204643,19.397678,19.180337,9.590169
20,62.154097,18.922952,18.516868,9.258434
21,62.56949,18.715255,17.702558,8.851279
22,62.492938,18.753531,16.866746,8.433373
23,62.010078,18.994961,16.095863,8.047932
24,61.232533,19.383733,15.439193,7.719596
25,60.28305,19.858475,14.92299,7.461495
26,59.283033,20.358484,14.564765,7.282382
27,58.342045,20.828977,14.380218,7.190109
28,57.549233,21.225384,14.379936,7.189968
29,56.967113,21.516443,14.559591,7.279795
30,56.628328,21.685836,14.8919,7.44595
31,56.535711,21.732145,15.327127,7.663564
32,56.665592,21.667204,15.802472,7.901236
33,56.973702,21.513149,16.255258,8.127629
34,57.402696,21.298652,16.634262,8.317131
35,57.890188,21.054906,16.90626,8.45313
36,58.376228,20.811886,17.0576,8.5288
37,58.809437,20.595282,17.092033,8.546017
38,59.151292,20.424354,17.026367,8.513184
39,59.378402,20.310799,16.885351,8.442675
40,59.482812,20.258594,16.696881,8.348441
41,59.470654,20.264673,16.48822,8.24411
42,59.359498,20.320251,16.283475,8.141738
43,59.174899,20.41255,16.102238,8.051119
44,58.94659,20.526705,15.958999,7.9795
45,58.704772,20.647614,15.862951,7.931475
46,58.476869,20.761566,15.817928,7.908964
47,58.285024,20.857488,15.822498,7.911249
48,58.144491,20.927754,15.870371,7.935185
49,58.062983,20.968508,15.951297,7.975649
50,58.0409,20.97955,16.052483,8.026242

