time,ln(X)-mean,ln(X)-sd
0,0,0
1,1.68,0.34507
2,1.68,0.34507
3,1.68,0.34507
4,1.68,0.34507
5,1.68,0.34507
6,1.68,0.34507
7,1.68,0.34507
8,1.68,0.34507
9,1.68,0.34507
10,1.68,0.34507
11,1.68,0.34507
12,1.68,0.34507
13,1.68,0.34507
14,1.68,0.34507
15,1.68,0.34507
16,1.68,0.34507
17,1.68,0.34507
18,1.68,0.34507
19,1.68,0.34507
20,1.68,0.34507
21,1.68,0.34507
22,1.68,0.34507
23,1.68,0.34507
24,1.68,0.34507
25,1.68,0.34507
26,1.68,0.34507
27,1.68,0.34507
28,1.68,0.34507
29,1.68,0.34507
30,1.68,0.34507
31,1.68,0.34507
32,1.68,0.34507
33,1.68,0.34507
34,1.68,0.34507
35,1.68,0.34507
36,1.68,0.34507
37,1.68,0.34507
38,1.68,0.34507
39,1.68,0.34507
40,1.68,0.34507
41,1.68,0.34507
42,1.68,0.34507
43,1.68,0.34507
44,1.68,0.34507
45,1.68,0.34507
46,1.68,0.34507
47,1.68,0.34507
48,1.68,0.34507
49,1.68,0.34507
50,1.68,0.34507
