time,X-mean,X-sd
0,0,0
1,1.25,1
2,1.25,1
3,1.25,1
4,1.25,1
5,1.25,1
6,1.25,1
7,1.25,1
8,1.25,1
9,1.25,1
10,1.25,1
11,1.25,1
12,1.25,1
13,1.25,1
14,1.25,1
15,1.25,1
16,1.25,1
17,1.25,1
18,1.25,1
19,1.25,1
20,1.25,1
21,1.25,1
22,1.25,1
23,1.25,1
24,1.25,1
25,1.25,1
26,1.25,1
27,1.25,1
28,1.25,1
29,1.25,1
30,1.25,1
31,1.25,1
32,1.25,1
33,1.25,1
34,1.25,1
35,1.25,1
36,1.25,1
37,1.25,1
38,1.25,1
39,1.25,1
40,1.25,1
41,1.25,1
42,1.25,1
43,1.25,1
44,1.25,1
45,1.25,1
46,1.25,1
47,1.25,1
48,1.25,1
49,1.25,1
50,1.25,1
