time,S1,S2
0,1.5000000000000001E-15,1.5000000000000001E-15
0.5,1.33410058728571E-15,1.5000000000000001E-15
1.,1.2048979947737652E-15,1.5000000000000001E-15
1.5,1.1042749145531154E-15,1.5000000000000001E-15
2.,1.0259095808826443E-15,1.5000000000000001E-15
2.5,9.648785976530495E-16,1.5000000000000001E-15
3.,9.173476201195665E-16,1.5000000000000001E-15
3.5,8.803304575939983E-16,1.5000000000000001E-15
4.,8.515014624315196E-16,1.5000000000000001E-15
4.5,8.290494184242033E-16,1.5000000000000001E-15
5.,8.1156374897030295E-16,1.5000000000000001E-15
5.5,7.979458959074822E-16,1.5000000000000001E-15
6.,7.873403012785626E-16,1.5000000000000001E-15
6.5,7.790806558765381E-16,1.5000000000000001E-15
7.,7.726480375595894E-16,1.5000000000000001E-15
7.5,7.676383093960452E-16,1.5000000000000001E-15
8.,7.637367291740932E-16,1.5000000000000001E-15
8.5,7.606981754367578E-16,1.5000000000000001E-15
9.,7.583317474105049E-16,1.5000000000000001E-15
9.5,7.564887714113899E-16,1.5000000000000001E-15
10.,7.550534602562569E-16,1.5000000000000001E-15
10.5,7.539356388051935E-16,1.5000000000000001E-15
11.,7.530650785851228E-16,1.5000000000000001E-15
11.5,7.523870856029276E-16,1.5000000000000001E-15
12.,7.518590641366876E-16,1.5000000000000001E-15
12.5,7.514478406059865E-16,1.5000000000000001E-15
13.,7.511275793983316E-16,1.5000000000000001E-15
13.5,7.508781597183562E-16,1.5000000000000001E-15
14.,7.506839114764084E-16,1.5000000000000001E-15
14.5,7.505326307930239E-16,1.5000000000000001E-15
15.,7.504148132816783E-16,1.5000000000000001E-15
15.5,7.503230569108217E-16,1.5000000000000001E-15
16.,7.502515969761028E-16,1.5000000000000001E-15
16.5,7.501959439225265E-16,1.5000000000000001E-15
17.,7.501526012808994E-16,1.5000000000000001E-15
17.5,7.501188459977787E-16,1.5000000000000001E-15
18.,7.500925573568171E-16,1.5000000000000001E-15
18.5,7.500720837424268E-16,1.5000000000000001E-15
19.,7.500561388752345E-16,1.5000000000000001E-15
19.5,7.500437210001147E-16,1.5000000000000001E-15
20.,7.500340499492752E-16,1.5000000000000001E-15
20.5,7.500265181273304E-16,1.5000000000000001E-15
21.,7.500206523384835E-16,1.5000000000000001E-15
21.5,7.500160840569158E-16,1.5000000000000001E-15
22.,7.500125262773759E-16,1.5000000000000001E-15
22.5,7.500097554758981E-16,1.5000000000000001E-15
23.,7.500075975730674E-16,1.5000000000000001E-15
23.5,7.500059169962834E-16,1.5000000000000001E-15
24.,7.500046081617389E-16,1.5000000000000001E-15
24.5,7.500035888403935E-16,1.5000000000000001E-15
25.,7.500027949920818E-16,1.5000000000000001E-15
