time,S1,S2
0,1.5000000000000001E-15,-4.950507214766714E-41
0.1,1.3572561269670237E-15,1.4274387303297572E-16
0.2,1.2280961292888493E-15,2.7190387071115E-16
0.30000000000000004,1.1112273302550652E-15,3.887726697449342E-16
0.4,1.00548005763856E-15,4.945199423614393E-16
0.5,9.097959811289768E-16,5.902040188710224E-16
0.6000000000000001,8.232174515093289E-16,6.767825484906702E-16
0.7000000000000001,7.4487795557787765E-16,7.551220444221215E-16
0.8,6.739934259670441E-16,8.2600657403295505E-16
0.9,6.098544736160721E-16,8.90145526383927E-16
1.,5.518191292397778E-16,9.481808707602213E-16
1.1,4.993066251715184E-16,1.0006933748284806E-15
1.2000000000000002,4.517912893162364E-16,1.0482087106837627E-15
1.3,4.087976829501163E-16,1.091202317049883E-15
1.4000000000000001,3.698954311220712E-16,1.1301045688779281E-15
1.5,3.3469520047706804E-16,1.1653047995229314E-15
1.6,3.0284475932474896E-16,1.1971552406752503E-15
1.7000000000000002,2.7402528597361814E-16,1.2259747140263812E-15
1.8,2.4794832100993525E-16,1.252051678990064E-15
1.9000000000000001,2.2435290366221083E-16,1.2756470963377882E-15
2.,2.0300290111574733E-16,1.2969970988842518E-15
2.1,1.8368463246027495E-16,1.3163153675397242E-15
2.2,1.6620473754131477E-16,1.3337952624586844E-15
2.3000000000000003,1.503882580823736E-16,1.3496117419176255E-15
2.4000000000000004,1.3607691435581036E-16,1.3639230856441887E-15
2.5,1.2312748378844085E-16,1.3768725162115582E-15
2.6,1.1141036178775997E-16,1.3885896382122393E-15
2.7,1.0080826909606086E-16,1.3991917309039384E-15
2.8000000000000003,9.121508900050312E-17,1.4087849109994961E-15
2.9000000000000004,8.253482046516746E-17,1.4174651795348316E-15
3.,7.468059413985114E-17,1.425319405860148E-15
3.1,6.757380052490941E-17,1.4324261994750898E-15
3.2,6.114330592376146E-17,1.4388566940762376E-15
3.3000000000000003,5.532474787194646E-17,1.4446752521280528E-15
3.4000000000000004,5.005989901360402E-17,1.449940100986395E-15
3.5,4.529607014355302E-17,1.454703929856446E-15
3.6,4.0985581986209674E-17,1.4590144180137893E-15
3.7,3.7085289641477503E-17,1.4629147103585216E-15
3.8000000000000003,3.355615568288488E-17,1.466443844317114E-15
3.9000000000000004,3.0362863524770164E-17,1.4696371364752285E-15
4.,2.7473455380294194E-17,1.4725265446197045E-15
4.1000000000000005,2.485901218494737E-17,1.4751409878150515E-15
4.2,2.2493365160177456E-17,1.4775066348398214E-15
4.3,2.0352837158033846E-17,1.479647162841965E-15
4.4,1.8416007618970618E-17,1.4815839923810283E-15
4.5,1.6663493064431724E-17,1.4833365069355673E-15
4.6000000000000005,1.5077753122114998E-17,1.4849222468778838E-15
4.7,1.3642915585488007E-17,1.4863570844145109E-15
4.800000000000001,1.2344619697065893E-17,1.487655380302933E-15
4.9,1.1169873957766128E-17,1.4888301260422327E-15
5.,1.0106920498693615E-17,1.4898930795013053E-15
