time,S1,S2
0,1.5000000000000001E-15,1.5000000000000001E-15
0.1,1.3572561270443898E-15,1.6427438729556104E-15
0.2,1.2280961296002852E-15,1.771903870399715E-15
0.30000000000000004,1.111227329003478E-15,1.8887726709965223E-15
0.4,1.0054800668882099E-15,1.9945199331117907E-15
0.5,9.097959873258034E-16,2.090204012674198E-15
0.6000000000000001,8.232174418761248E-16,2.176782558123876E-15
0.7000000000000001,7.448779412567071E-16,2.2551220587432936E-15
0.8,6.739934325123766E-16,2.326006567487624E-15
0.9,6.098544790261104E-16,2.39014552097389E-15
1.,5.51819131793591E-16,2.4481808682064093E-15
1.1,4.993066255293981E-16,2.500693374470601E-15
1.2000000000000002,4.517913176945988E-16,2.5482086823053997E-15
1.3,4.087976893969383E-16,2.5912023106030597E-15
1.4000000000000001,3.698954452464573E-16,2.6301045547535408E-15
1.5,3.3469523836302213E-16,2.6653047616369756E-15
1.6,3.0284477695065367E-16,2.6971552230493445E-15
1.7000000000000002,2.740252859665855E-16,2.7259747140334126E-15
1.8,2.4794832861162277E-16,2.7520516713883754E-15
1.9000000000000001,2.2435292237785973E-16,2.7756470776221383E-15
2.,2.0300292187767879E-16,2.7969970781223194E-15
2.1,1.8368464230163034E-16,2.8163153576983678E-15
2.2,1.6620472621806647E-16,2.8337952737819318E-15
2.3000000000000003,1.5038826521420828E-16,2.84961173478579E-15
2.4000000000000004,1.3607692232397315E-16,2.863923077676025E-15
2.5,1.2312749244876984E-16,2.876872507551228E-15
2.6,1.114103660299464E-16,2.8885896339700513E-15
2.7,1.0080826204113777E-16,2.89919173795886E-15
2.8000000000000003,9.121509298050674E-17,2.908784907019491E-15
2.9000000000000004,8.253482498766871E-17,2.917465175012329E-15
3.,7.468059426047647E-17,2.925319405739521E-15
3.1,6.757379872666393E-17,2.9324262012733332E-15
3.2,6.114330581296442E-17,2.9388566941870327E-15
3.3000000000000003,5.5324748660332776E-17,2.9446752513396645E-15
3.4000000000000004,5.005989957873436E-17,2.949940100421263E-15
3.5,4.5296071175259555E-17,2.9547039288247382E-15
3.6,4.098558316018839E-17,2.9590144168398093E-15
3.7,3.708528870098628E-17,2.9629147112990115E-15
3.8000000000000003,3.355615447329749E-17,2.9664438455267E-15
3.9000000000000004,3.0362864145514746E-17,2.9696371358544827E-15
4.,2.7473457581296966E-17,2.9725265424187004E-15
4.1000000000000005,2.485901279046013E-17,2.975140987209537E-15
4.2,2.2493363289493536E-17,2.9775066367105036E-15
4.3,2.035283632700001E-17,2.9796471636729967E-15
4.4,1.8416009029339674E-17,2.9815839909706573E-15
4.5,1.6663494761345742E-17,2.983336505238651E-15
4.6000000000000005,1.5077752547895114E-17,2.9849222474521015E-15
4.7,1.364291413619196E-17,2.9863570858638047E-15
4.800000000000001,1.2344619799102489E-17,2.987655380200894E-15
4.9,1.1169874604200831E-17,2.9888301253957956E-15
5.,1.0106920498646697E-17,2.9898930795013496E-15
