time,A,B,C
0,1.E-15,2.E-15,1.E-15
0.2,1.048770575508283E-15,2.0487705755082842E-15,9.512294244917172E-16
0.4,1.0951625819705838E-15,2.0951625819705846E-15,9.048374180294164E-16
0.6000000000000001,1.139292023915664E-15,2.1392920239156647E-15,8.607079760843361E-16
0.8,1.1812692469334832E-15,2.181269246933484E-15,8.187307530665169E-16
1.,1.2211992185890427E-15,2.221199218589044E-15,7.788007814109569E-16
1.2000000000000002,1.2591817806715373E-15,2.259181780671538E-15,7.408182193284623E-16
1.4000000000000001,1.2953119115415255E-15,2.2953119115415264E-15,7.0468808845847435E-16
1.6,1.3296799554189032E-15,2.329679955418904E-15,6.703200445810967E-16
1.8,1.3623718492920444E-15,2.3623718492920453E-15,6.376281507079556E-16
2.,1.3934693417959358E-15,2.393469341795937E-15,6.06530658204064E-16
2.2,1.4230501964818666E-15,2.4230501964818675E-15,5.769498035181331E-16
2.4000000000000004,1.4511883722034975E-15,2.451188372203498E-15,5.488116277965024E-16
2.6,1.477954232505632E-15,2.4779542325056325E-15,5.220457674943677E-16
2.8000000000000003,1.5034147059260216E-15,2.5034147059260222E-15,4.965852940739781E-16
3.,1.527633456910276E-15,2.527633456910277E-15,4.723665430897234E-16
3.2,1.5506710449943662E-15,2.550671044994367E-15,4.493289550056332E-16
3.4000000000000004,1.5725850762247242E-15,2.572585076224725E-15,4.274149237752752E-16
3.6,1.5934303471945837E-15,2.5934303471945846E-15,4.065696528054157E-16
3.8000000000000003,1.6132589820565366E-15,2.6132589820565375E-15,3.8674101794346266E-16
4.,1.6321205774685224E-15,2.632120577468524E-15,3.6787942253147696E-16
4.2,1.6500623312119138E-15,2.6500623312119155E-15,3.499376687880854E-16
4.4,1.6671289163116121E-15,2.6671289163116148E-15,3.328710836883866E-16
4.6000000000000005,1.6833632306372827E-15,2.6833632306372853E-15,3.166367693627161E-16
4.800000000000001,1.6988057882012432E-15,2.698805788201246E-15,3.0119421179875566E-16
5.,1.713495203140555E-15,2.713495203140558E-15,2.8650479685944356E-16
5.2,1.7274682070711462E-15,2.7274682070711492E-15,2.7253179292885243E-16
5.4,1.740759740902106E-15,2.7407597409021094E-15,2.5924025909789274E-16
5.6000000000000005,1.7534030365700954E-15,2.7534030365700986E-15,2.465969634299033E-16
5.800000000000001,1.7654297121008968E-15,2.7654297121009004E-15,2.345702878991017E-16
6.,1.7768698410572823E-15,2.7768698410572855E-15,2.2313015894271617E-16
6.2,1.787752027196103E-15,2.7877520271961063E-15,2.122479728038956E-16
6.4,1.79810348205639E-15,2.798103482056393E-15,2.0189651794360895E-16
6.6000000000000005,1.807950092854406E-15,2.8079500928544094E-15,1.9204990714559278E-16
6.800000000000001,1.817316475983018E-15,2.8173164759830213E-15,1.826835240169804E-16
7.,1.8262260573459193E-15,2.8262260573459225E-15,1.7377394265407905E-16
7.2,1.8347011143958854E-15,2.8347011143958886E-15,1.6529888560411298E-16
7.4,1.8427628376961852E-15,2.8427628376961885E-15,1.5723716230381329E-16
7.6000000000000005,1.8504313850738454E-15,2.8504313850738486E-15,1.4956861492615292E-16
7.800000000000001,1.8577259289593862E-15,2.8577259289593895E-15,1.4227407104061228E-16
8.,1.864664716763575E-15,2.864664716763578E-15,1.3533528323642387E-16
