time,A,B,C
0,1.E-15,2.E-15,1.E-15
0.2,1.E-15,2.E-15,9.512294245082399E-16
0.4,1.E-15,2.E-15,9.048374180292129E-16
0.6000000000000001,1.E-15,2.E-15,8.607079764290723E-16
0.8,1.E-15,2.E-15,8.187307530803435E-16
1.,1.E-15,2.E-15,7.788007830706251E-16
1.2000000000000002,1.E-15,2.E-15,7.408182206861222E-16
1.4000000000000001,1.E-15,2.E-15,7.046880897206418E-16
1.6,1.E-15,2.E-15,6.703200460361493E-16
1.8,1.E-15,2.E-15,6.376281516278415E-16
2.,1.E-15,2.E-15,6.065306597143137E-16
2.2,1.E-15,2.E-15,5.769498103842024E-16
2.4000000000000004,1.E-15,2.E-15,5.488116361001787E-16
2.6,1.E-15,2.E-15,5.220457767647022E-16
2.8000000000000003,1.E-15,2.E-15,4.965853037954868E-16
3.,1.E-15,2.E-15,4.723665527470871E-16
3.2,1.E-15,2.E-15,4.493289641195599E-16
3.4000000000000004,1.E-15,2.E-15,4.2741493195323767E-16
3.6,1.E-15,2.E-15,4.0656965974515013E-16
3.8000000000000003,1.E-15,2.E-15,3.8674102345654173E-16
4.,1.E-15,2.E-15,3.6787944117598348E-16
4.2,1.E-15,2.E-15,3.4993774911481645E-16
4.4,1.E-15,2.E-15,3.328710837008692E-16
4.6000000000000005,1.E-15,2.E-15,3.166367693845917E-16
4.800000000000001,1.E-15,2.E-15,3.011942119158269E-16
5.,1.E-15,2.E-15,2.8650479686386665E-16
5.2,1.E-15,2.E-15,2.7253179303980074E-16
5.4,1.E-15,2.E-15,2.5924026064996587E-16
5.6000000000000005,1.E-15,2.E-15,2.465969639458286E-16
5.800000000000001,1.E-15,2.E-15,2.3457028809972404E-16
6.,1.E-15,2.E-15,2.2313016015352585E-16
6.2,1.E-15,2.E-15,2.122479738321509E-16
6.4,1.E-15,2.E-15,2.018965179920369E-16
6.6000000000000005,1.E-15,2.E-15,1.9204990862513762E-16
6.800000000000001,1.E-15,2.E-15,1.8268352405128139E-16
7.,1.E-15,2.E-15,1.7377394345683233E-16
7.2,1.E-15,2.E-15,1.6529888822224096E-16
7.4,1.E-15,2.E-15,1.5723716631785696E-16
7.6000000000000005,1.E-15,2.E-15,1.495686192270848E-16
7.800000000000001,1.E-15,2.E-15,1.4227407158870593E-16
8.,1.E-15,2.E-15,1.353352832440117E-16
8.200000000000001,1.E-15,2.E-15,1.2873490359005468E-16
8.4,1.E-15,2.E-15,1.2245642825989687E-16
8.6,1.E-15,2.E-15,1.164841577777572E-16
8.8,1.E-15,2.E-15,1.1080315836712822E-16
9.,1.E-15,2.E-15,1.0539922456865999E-16
9.200000000000001,1.E-15,2.E-15,1.0025884372646936E-16
9.4,1.E-15,2.E-15,9.536916222331568E-17
9.600000000000001,1.E-15,2.E-15,9.071795329361983E-17
9.8,1.E-15,2.E-15,8.629358650570324E-17
10.,1.E-15,2.E-15,8.208499863150026E-17
