time,A,B,C
0,1.E-15,2.E-15,1.E-15
0.02,9.660216166898288E-16,1.966021616689829E-15,1.E-15
0.04,9.33978872349477E-16,1.9339788723494768E-15,1.E-15
0.06,9.03722715078614E-16,1.9037227150786143E-15,1.E-15
0.08,8.751189090036762E-16,1.875118909003676E-15,1.E-15
0.1,8.480462364260209E-16,1.848046236426021E-15,1.E-15
0.12,8.223949556284648E-16,1.822394955628466E-15,1.E-15
0.14,7.980654729035465E-16,1.7980654729035478E-15,1.E-15
0.16,7.749671948732939E-16,1.774967194873294E-15,1.E-15
0.18,7.530175331765388E-16,1.753017533176539E-15,1.E-15
0.2,7.321410384341832E-16,1.7321410384341835E-15,1.E-15
0.22,7.122686443173826E-16,1.7122686443173823E-15,1.E-15
0.24,6.93337005726922E-16,1.6933370057269219E-15,1.E-15
0.26,6.75287917692116E-16,1.6752879176921159E-15,1.E-15
0.28,6.580678037324724E-16,1.6580678037324722E-15,1.E-15
0.3,6.416272641835499E-16,1.6416272641835498E-15,1.E-15
0.32,6.259206764447157E-16,1.6259206764447162E-15,1.E-15
0.34,6.109058403163054E-16,1.6109058403163056E-15,1.E-15
0.36,5.965436626025367E-16,1.596543662602537E-15,1.E-15
0.38,5.827978760002973E-16,1.5827978760002977E-15,1.E-15
0.4,5.696347879974934E-16,1.5696347879974939E-15,1.E-15
0.42,5.570230561162549E-16,1.5570230561162552E-15,1.E-15
0.44,5.449334863331854E-16,1.5449334863331856E-15,1.E-15
0.46,5.333388519166427E-16,1.5333388519166427E-15,1.E-15
0.48,5.222137303315622E-16,1.5222137303315622E-15,1.E-15
0.5,5.115343561301518E-16,1.511534356130152E-15,1.E-15
0.52,5.012784880323706E-16,1.5012784880323706E-15,1.E-15
0.54,4.914252886246448E-16,1.4914252886246446E-15,1.E-15
0.56,4.819552153004541E-16,1.4819552153004538E-15,1.E-15
0.58,4.728499212355613E-16,1.4728499212355612E-15,1.E-15
0.6,4.640921653365734E-16,1.4640921653365733E-15,1.E-15
0.62,4.556657302278764E-16,1.4556657302278763E-15,1.E-15
0.64,4.475553474517884E-16,1.447555347451788E-15,1.E-15
0.66,4.397466291518883E-16,1.4397466291518881E-15,1.E-15
0.68,4.3222600559269857E-16,1.4322260055926982E-15,1.E-15
0.7000000000000001,4.2498066794216766E-16,1.4249806679421674E-15,1.E-15
0.72,4.179985158063841E-16,1.4179985158063837E-15,1.E-15
0.74,4.1126810906190773E-16,1.4112681090619076E-15,1.E-15
0.76,4.047786235801462E-16,1.4047786235801462E-15,1.E-15
0.78,3.9851981048135543E-16,1.3985198104813554E-15,1.E-15
0.8,3.9248195859390524E-16,1.3924819585939055E-15,1.E-15
0.8200000000000001,3.8665585982806847E-16,1.3866558598280686E-15,1.E-15
0.84,3.810327772033414E-16,1.3810327772033417E-15,1.E-15
0.86,3.756044152946756E-16,1.3756044152946755E-15,1.E-15
0.88,3.703628928864414E-16,1.3703628928864414E-15,1.E-15
0.9,3.653007176437131E-16,1.3653007176437133E-15,1.E-15
0.92,3.604107626288544E-16,1.3604107626288543E-15,1.E-15
0.9400000000000001,3.5568624450661356E-16,1.3556862445066137E-15,1.E-15
0.96,3.511207033045637E-16,1.351120703304564E-15,1.E-15
0.98,3.467079835980581E-16,1.3467079835980586E-15,1.E-15
1.,3.424422169631575E-16,1.3424422169631578E-15,1.E-15
