time,A,B,C
0,1.E-15,2.E-15,1.E-15
0.02,9.335202389801338E-16,1.9667601194900673E-15,1.0332398805099335E-15
0.04,8.735100928735347E-16,1.936755046436768E-15,1.063244953563233E-15
0.06,8.192094975417409E-16,1.909604748770871E-15,1.0903952512291299E-15
0.08,7.699681774291397E-16,1.88498408871457E-15,1.1150159112854304E-15
0.1,7.252265465376611E-16,1.8626132732688312E-15,1.1373867267311694E-15
0.12,6.845004698534855E-16,1.842250234926744E-15,1.1577497650732571E-15
0.14,6.47369005983579E-16,1.8236845029917905E-15,1.1763154970082103E-15
0.16,6.134644889964393E-16,1.8067322444982214E-15,1.1932677555017804E-15
0.18,5.824643874741796E-16,1.7912321937370914E-15,1.20876780626291E-15
0.2,5.54084679555698E-16,1.7770423397778502E-15,1.2229576602221506E-15
0.22,5.28074314258299E-16,1.7640371571291509E-15,1.2359628428708502E-15
0.24,5.042106240947255E-16,1.752105312047364E-15,1.247894687952637E-15
0.26,4.822955088457877E-16,1.7411477544228951E-15,1.258852245577106E-15
0.28,4.621521879881373E-16,1.7310760939940698E-15,1.2689239060059312E-15
0.3,4.436224684701753E-16,1.7218112342350888E-15,1.2781887657649123E-15
0.32,4.265644320527541E-16,1.7132822160263781E-15,1.2867177839736229E-15
0.34,4.1085046583981745E-16,1.70542523291991E-15,1.294574767080091E-15
0.36,3.963655562141664E-16,1.6981827781070845E-15,1.3018172218929165E-15
0.38,3.8300581452077075E-16,1.6915029072603867E-15,1.3084970927396143E-15
0.4,3.7067725540788047E-16,1.6853386277039416E-15,1.3146613722960594E-15
0.42,3.59294671374376E-16,1.6796473356871894E-15,1.3203526643128116E-15
0.44,3.4878067189414023E-16,1.6743903359470714E-15,1.3256096640529296E-15
0.46,3.390648954719646E-16,1.6695324477359835E-15,1.3304675522640175E-15
0.48,3.3008325173528927E-16,1.6650416258676459E-15,1.3349583741323552E-15
0.5,3.2177727216574945E-16,1.6608886360828756E-15,1.3391113639171254E-15
0.52,3.1409357476689884E-16,1.6570467873834503E-15,1.3429532126165507E-15
0.54,3.069833591643335E-16,1.6534916795821677E-15,1.3465083204178334E-15
0.56,3.0040194583767286E-16,1.6502009729188373E-15,1.3497990270811637E-15
0.58,2.943083999111919E-16,1.647154199955597E-15,1.352845800044404E-15
0.6,2.886651784564716E-16,1.6443325892282368E-15,1.3556674107717642E-15
0.62,2.834378201601979E-16,1.6417189100801E-15,1.358281089919901E-15
0.64,2.7859466683596603E-16,1.639297333417984E-15,1.360702666582017E-15
0.66,2.741066105180708E-16,1.6370533052590365E-15,1.3629466947409645E-15
0.68,2.6994686858658963E-16,1.634973434293296E-15,1.365026565706705E-15
0.7000000000000001,2.6609078154616285E-16,1.6330453907730827E-15,1.3669546092269183E-15
0.72,2.6251562944083865E-16,1.6312578147204206E-15,1.3687421852795804E-15
0.74,2.5920047162182344E-16,1.629600235810913E-15,1.370399764189088E-15
0.76,2.5612599211065407E-16,1.6280629960553282E-15,1.3719370039446728E-15
0.78,2.5327436680010853E-16,1.6266371834000554E-15,1.3733628165999456E-15
0.8,2.506291400529085E-16,1.6253145700264554E-15,1.3746854299735456E-15
0.8200000000000001,2.481751129891557E-16,1.624087556494579E-15,1.375912443505422E-15
0.84,2.458982417903715E-16,1.6229491208951868E-15,1.3770508791048143E-15
0.86,2.4378554500614555E-16,1.6218927725030737E-15,1.3781072274969273E-15
0.88,2.4182501897564916E-16,1.6209125094878256E-15,1.3790874905121754E-15
0.9,2.400055605310792E-16,1.6200027802655404E-15,1.3799972197344606E-15
0.92,2.383168963056612E-16,1.6191584481528313E-15,1.3808415518471698E-15
0.9400000000000001,2.367495180239263E-16,1.618374759011964E-15,1.381625240988037E-15
0.96,2.352946232032907E-16,1.617647311601646E-15,1.382352688398355E-15
0.98,2.3394406117272133E-16,1.6169720305863614E-15,1.3830279694136396E-15
1.,2.3269028174710754E-16,1.6163451408735544E-15,1.3836548591264466E-15
