time,S1,S2,S3,S4
0,1.E-15,2.E-15,1.E-15,1.E-15
0.06,9.30812975331494E-16,1.9308129753314945E-15,1.0691870246685061E-15,1.0691870246685061E-15
0.12,8.719117529226105E-16,1.8719117529226103E-15,1.1280882470773895E-15,1.1280882470773895E-15
0.18,8.215887901282783E-16,1.821588790128278E-15,1.1784112098717217E-15,1.1784112098717217E-15
0.24,7.784641634451423E-16,1.7784641634451423E-15,1.2215358365548577E-15,1.2215358365548577E-15
0.3,7.4141203794069E-16,1.74141203794069E-15,1.25858796205931E-15,1.25858796205931E-15
0.36,7.095061797437864E-16,1.7095061797437868E-15,1.290493820256213E-15,1.290493820256213E-15
0.42,6.819789548844126E-16,1.6819789548844131E-15,1.3180210451155867E-15,1.3180210451155867E-15
0.48,6.581900476432554E-16,1.658190047643256E-15,1.3418099523567439E-15,1.3418099523567439E-15
0.54,6.376022957519363E-16,1.6376022957519369E-15,1.362397704248063E-15,1.362397704248063E-15
0.6,6.197628449213237E-16,1.6197628449213241E-15,1.3802371550786757E-15,1.3802371550786757E-15
0.6599999999999999,6.042881989009073E-16,1.6042881989009081E-15,1.3957118010990917E-15,1.3957118010990917E-15
0.72,5.908523653981608E-16,1.5908523653981615E-15,1.4091476346018383E-15,1.4091476346018383E-15
0.78,5.791772867089035E-16,1.5791772867089045E-15,1.4208227132910953E-15,1.4208227132910953E-15
0.84,5.690250832492185E-16,1.5690250832492195E-15,1.4309749167507803E-15,1.4309749167507803E-15
0.8999999999999999,5.601917184408623E-16,1.5601917184408633E-15,1.4398082815591366E-15,1.4398082815591366E-15
0.96,5.525017781557049E-16,1.5525017781557059E-15,1.447498221844294E-15,1.447498221844294E-15
1.02,5.458041533773696E-16,1.5458041533773703E-15,1.4541958466226295E-15,1.4541958466226295E-15
1.08,5.399684425921929E-16,1.5399684425921933E-15,1.4600315574078065E-15,1.4600315574078065E-15
1.14,5.348819399518846E-16,1.534881939951885E-15,1.4651180600481148E-15,1.4651180600481148E-15
1.2,5.304471018684692E-16,1.53044710186847E-15,1.4695528981315298E-15,1.4695528981315298E-15
1.26,5.265794069834008E-16,1.5265794069834018E-15,1.473420593016598E-15,1.473420593016598E-15
1.3199999999999998,5.23205539913917E-16,1.5232055399139177E-15,1.4767944600860821E-15,1.4767944600860821E-15
1.38,5.202618541041049E-16,1.5202618541041057E-15,1.4797381458958941E-15,1.4797381458958941E-15
1.44,5.176930453792594E-16,1.5176930453792603E-15,1.4823069546207395E-15,1.4823069546207395E-15
1.5,5.154510230973216E-16,1.5154510230973223E-15,1.4845489769026775E-15,1.4845489769026775E-15
1.56,5.134939528107227E-16,1.5134939528107234E-15,1.4865060471892765E-15,1.4865060471892765E-15
1.6199999999999999,5.11785418608889E-16,1.5117854186088896E-15,1.4882145813911102E-15,1.4882145813911102E-15
1.68,5.10293701502037E-16,1.510293701502038E-15,1.4897062984979619E-15,1.4897062984979619E-15
1.74,5.089911754913323E-16,1.5089911754913332E-15,1.4910088245086666E-15,1.4910088245086666E-15
1.7999999999999998,5.078537504814445E-16,1.5078537504814455E-15,1.4921462495185543E-15,1.4921462495185543E-15
1.8599999999999999,5.068604342239515E-16,1.5068604342239527E-15,1.4931395657760472E-15,1.4931395657760472E-15
1.92,5.059929181041225E-16,1.5059929181041238E-15,1.494007081895876E-15,1.494007081895876E-15
1.98,5.052352263368803E-16,1.5052352263368814E-15,1.4947647736631184E-15,1.4947647736631184E-15
2.04,5.045734288344854E-16,1.5045734288344867E-15,1.4954265711655131E-15,1.4954265711655131E-15
2.1,5.039953653524509E-16,1.503995365352452E-15,1.4960046346475478E-15,1.4960046346475478E-15
2.16,5.034904221319148E-16,1.5034904221319161E-15,1.4965095778680837E-15,1.4965095778680837E-15
2.2199999999999998,5.030493390699971E-16,1.5030493390699984E-15,1.4969506609300014E-15,1.4969506609300014E-15
2.28,5.02664028232679E-16,1.5026640282326805E-15,1.4973359717673193E-15,1.4973359717673193E-15
2.34,5.023274294039295E-16,1.502327429403931E-15,1.4976725705960689E-15,1.4976725705960689E-15
2.4,5.02033379693706E-16,1.5020333796937075E-15,1.4979666203062924E-15,1.4979666203062924E-15
2.46,5.017764947208827E-16,1.5017764947208838E-15,1.498223505279116E-15,1.498223505279116E-15
2.52,5.015520741256926E-16,1.501552074125694E-15,1.4984479258743059E-15,1.4984479258743059E-15
2.58,5.01356013108307E-16,1.5013560131083085E-15,1.4986439868916913E-15,1.4986439868916913E-15
2.6399999999999997,5.011847249043477E-16,1.5011847249043492E-15,1.4988152750956506E-15,1.4988152750956506E-15
2.6999999999999997,5.010350784244718E-16,1.5010350784244733E-15,1.4989649215755265E-15,1.4989649215755265E-15
2.76,5.009043383389083E-16,1.5009043383389102E-15,1.4990956616610897E-15,1.4990956616610897E-15
2.82,5.007901149298127E-16,1.5007901149298145E-15,1.4992098850701853E-15,1.4992098850701853E-15
2.88,5.006903205951063E-16,1.500690320595108E-15,1.4993096794048918E-15,1.4993096794048918E-15
2.94,5.006031323800003E-16,1.5006031323800022E-15,1.4993968676199976E-15,1.4993968676199976E-15
3.,5.005269575297235E-16,1.5005269575297256E-15,1.4994730424702743E-15,1.4994730424702743E-15
