time,S1,S2,S3,S4
0,1.E-15,2.E-15,1.E-15,1.E-15
0.06,9.302811921345724E-16,1.930281192134574E-15,1.0697188078654278E-15,1.E-15
0.12,8.699043907899864E-16,1.8699043907899873E-15,1.1300956092100137E-15,1.E-15
0.18,8.17331711533315E-16,1.8173317115333156E-15,1.1826682884666852E-15,1.E-15
0.24,7.713364583801664E-16,1.7713364583801672E-15,1.2286635416198335E-15,1.E-15
0.3,7.309281996482564E-16,1.7309281996482566E-15,1.269071800351744E-15,1.E-15
0.36,6.95298518149165E-16,1.6952985181491653E-15,1.3047014818508353E-15,1.E-15
0.42,6.637810933588578E-16,1.6637810933588581E-15,1.3362189066411425E-15,1.E-15
0.48,6.358218763495017E-16,1.6358218763495015E-15,1.3641781236504992E-15,1.E-15
0.54,6.109564931284191E-16,1.6109564931284193E-15,1.3890435068715813E-15,1.E-15
0.6,5.887929221396936E-16,1.588792922139694E-15,1.4112070778603065E-15,1.E-15
0.6599999999999999,5.689980459765005E-16,1.5689980459765015E-15,1.431001954023499E-15,1.E-15
0.72,5.51287113882575E-16,1.5512871138825759E-15,1.4487128861174245E-15,1.E-15
0.78,5.354153981840415E-16,1.5354153981840422E-15,1.4645846018159584E-15,1.E-15
0.84,5.211715256465989E-16,1.5211715256466E-15,1.4788284743534008E-15,1.E-15
0.8999999999999999,5.083721066943836E-16,1.5083721066943848E-15,1.491627893305616E-15,1.E-15
0.96,4.968573774437854E-16,1.4968573774437869E-15,1.503142622556214E-15,1.E-15
1.02,4.864876293215278E-16,1.4864876293215292E-15,1.5135123706784714E-15,1.E-15
1.08,4.771402745947956E-16,1.4771402745947968E-15,1.5228597254052038E-15,1.E-15
1.14,4.687074049746589E-16,1.46870740497466E-15,1.531292595025341E-15,1.E-15
1.2,4.610937656488911E-16,1.4610937656488923E-15,1.538906234351109E-15,1.E-15
1.26,4.542150517401593E-16,1.4542150517401608E-15,1.5457849482598408E-15,1.E-15
1.3199999999999998,4.479964660684271E-16,1.4479964660684284E-15,1.552003533931573E-15,1.E-15
1.38,4.4237150651002714E-16,1.4423715065100286E-15,1.5576284934899732E-15,1.E-15
1.44,4.372809228817749E-16,1.4372809228817763E-15,1.5627190771182255E-15,1.E-15
1.5,4.3267183528912497E-16,1.432671835289126E-15,1.5673281647108753E-15,1.E-15
1.56,4.2849696568497055E-16,1.428496965684972E-15,1.5715030343150303E-15,1.E-15
1.6199999999999999,4.2471398464179697E-16,1.4247139846417987E-15,1.5752860153582035E-15,1.E-15
1.68,4.212849362805044E-16,1.4212849362805058E-15,1.5787150637194962E-15,1.E-15
1.74,4.181757457584104E-16,1.4181757457584117E-15,1.58182425424159E-15,1.E-15
1.7999999999999998,4.153557869296242E-16,1.4153557869296257E-15,1.5846442130703767E-15,1.E-15
1.8599999999999999,4.1279750372126044E-16,1.4127975037212626E-15,1.5872024962787407E-15,1.E-15
1.92,4.104760789885484E-16,1.4104760789885509E-15,1.5895239210114527E-15,1.E-15
1.98,4.08369142434578E-16,1.4083691424345808E-15,1.5916308575654232E-15,1.E-15
2.04,4.064565142749151E-16,1.4064565142749171E-15,1.5935434857250865E-15,1.E-15
2.1,4.047199737929017E-16,1.404719973792904E-15,1.5952800262070993E-15,1.E-15
2.16,4.031430622385712E-16,1.403143062238574E-15,1.5968569377614301E-15,1.E-15
2.2199999999999998,4.0171090406790997E-16,1.4017109040679128E-15,1.5982890959320914E-15,1.E-15
2.28,4.004100421086721E-16,1.4004100421086755E-15,1.5995899578913293E-15,1.E-15
2.34,3.9922830205676676E-16,1.39922830205677E-15,1.6007716979432342E-15,1.E-15
2.4,3.981546610284693E-16,1.3981546610284725E-15,1.6018453389715317E-15,1.E-15
2.46,3.9717913588442557E-16,1.3971791358844288E-15,1.6028208641155754E-15,1.E-15
2.52,3.962926824613521E-16,1.3962926824613558E-15,1.603707317538649E-15,1.E-15
2.58,3.95487104015861E-16,1.3954871040158645E-15,1.6045128959841405E-15,1.E-15
2.6399999999999997,3.947549682084016E-16,1.3947549682084053E-15,1.6052450317915999E-15,1.E-15
2.6999999999999997,3.940895363743491E-16,1.3940895363743521E-15,1.605910463625652E-15,1.E-15
2.76,3.934846940266601E-16,1.3934846940266626E-15,1.606515305973341E-15,1.E-15
2.82,3.929348943311294E-16,1.3929348943311318E-15,1.6070651056688716E-15,1.E-15
2.88,3.92435103628724E-16,1.3924351036287261E-15,1.607564896371277E-15,1.E-15
2.94,3.919807531888265E-16,1.3919807531888289E-15,1.6080192468111747E-15,1.E-15
3.,3.91567694562214E-16,1.3915676945622162E-15,1.6084323054377874E-15,1.E-15
