time,A,B,C,D
0,2.E-15,1.E-15,5.E-16,8.510926352923209E-41
0.2,1.738716470796213E-15,1.1531916964994883E-15,5.075647357884269E-16,1.005270969158725E-16
0.4,1.5115674829116105E-15,1.2593598344334048E-15,5.253692327901991E-16,2.0370344986478693E-16
0.6000000000000001,1.3140936396289496E-15,1.327218026750953E-15,5.47714684668822E-16,3.109736489512765E-16
0.8,1.1424181276935613E-15,1.364096921352433E-15,5.706586405316677E-16,4.228263104223393E-16
1.,9.931706075790305E-16,1.3761481511692282E-15,5.915810716797966E-16,5.391001695719452E-16
1.2000000000000002,8.634210468587775E-16,1.368519424746676E-15,6.088461983873745E-16,6.592133300071723E-16
1.4000000000000001,7.50622197704027E-16,1.345504738368048E-15,6.215402934966624E-16,7.823327704312632E-16
1.6,6.525595892462569E-16,1.3106731505750718E-15,6.29269600654579E-16,9.074976595240933E-16
1.8,5.673080529951496E-16,1.2669790924339221E-15,6.320056696892671E-16,1.0337071848816625E-15
2.,4.931939278775774E-16,1.2168567817897595E-15,6.299679635445384E-16,1.1599813267881265E-15
2.2,4.2876220285179655E-16,1.1623009595980363E-15,6.235356461215343E-16,1.2854011914286357E-15
2.4000000000000004,3.72747952081262E-16,1.1049358630152454E-15,6.131821135530707E-16,1.4091340713504253E-15
2.6,3.2405150186334023E-16,1.0460740877402572E-15,5.994271592797866E-16,1.5304472511166194E-15
2.8000000000000003,2.817168418416409E-16,9.867667650835384E-16,5.828027284019986E-16,1.6487136646728263E-15
3.,2.4491285650038445E-16,9.27846283422391E-16,5.638290697804237E-16,1.7634117902968048E-15
3.2,2.1291700875721984E-16,8.699626133008456E-16,5.42998776119279E-16,1.87412160182266E-15
3.4000000000000004,1.8510115502385385E-16,8.136141498409559E-16,5.207667463095103E-16,1.9805179488256844E-15
3.6,1.6091921350240464E-16,7.591738585172186E-16,4.97544537230983E-16,2.0823623907493983E-15
3.8000000000000003,1.3989644349000418E-16,7.069114015632392E-16,4.736979161675908E-16,2.1794942387791698E-15
4.,1.2162012524991904E-16,6.570118275125165E-16,4.495466973086156E-16,2.271821349928953E-15
4.2,1.0573145747720414E-16,6.09591324850342E-16,4.2536616083335197E-16,2.3593110568391064E-15
4.4,9.191851330061521E-17,5.647104703483556E-16,4.0138952225785815E-16,2.4419814940931756E-15
4.6000000000000005,7.991011652477851E-17,5.223853419503132E-16,3.778110523440749E-16,2.5198934891808383E-15
4.800000000000001,6.947051789175906E-17,4.825968136959668E-16,3.54789551331275E-16,2.593143117081004E-15
5.,6.039476684573872E-17,4.452983050299458E-16,3.324519615611818E-16,2.6618549665631385E-15
5.2,5.250468793235215E-17,4.104222179501603E-16,3.1089696453516E-16,2.7261761295823324E-15
5.4,4.5645382851860713E-17,3.778852619376055E-16,2.9019845588520197E-16,2.7862708993253366E-15
5.6000000000000005,3.968218949109233E-17,3.4759283778656114E-16,2.7040882780071215E-16,2.8423161449216396E-15
5.800000000000001,3.4498038232767116E-17,3.194426266397557E-16,2.515620155425197E-16,2.894497319584963E-15
6.,2.999115364227576E-17,2.933275091959667E-16,2.3367628477182737E-16,2.943005052389936E-15
6.2,2.6073056407821545E-17,2.6913792172111217E-16,2.1675675109143722E-16,2.9880322707796345E-15
6.4,2.2666826310400745E-17,2.4676373974130594E-16,2.0079763365896842E-16,3.0297718002893297E-15
6.6000000000000005,1.9705592123758608E-17,2.2609576677911217E-16,1.8578425198380015E-16,3.0684143891133346E-15
6.800000000000001,1.7131218796434402E-17,2.0702689389803774E-16,1.7169477982572821E-16,3.104147107479805E-15
7.,1.4893166142917214E-17,1.894529858801236E-16,1.5850177307240656E-16,3.137152074904557E-15
7.2,1.2947496637329642E-17,1.732735413484158E-16,1.461734900648946E-16,3.1676054719493647E-15
7.4,1.1256012829485074E-17,1.583921668601932E-16,1.3467502343114635E-16,3.19567679687918E-15
7.6000000000000005,9.785507451256635E-18,1.447168987713534E-16,1.2396926235936068E-16,3.221528331418034E-15
7.800000000000001,8.507111490491275E-18,1.3216040135184612E-16,1.1401770362127767E-16,3.2453147835363875E-15
8.,7.395727433700793E-18,1.20640065093708E-16,1.047811286992367E-16,3.2671830787733578E-15
8.200000000000001,6.429536551148535E-18,1.1007802528606537E-16,9.622016320922352E-17,3.2872722749535655E-15
8.4,5.58957055050407E-18,1.0040111763770777E-16,8.82957335380492E-17,3.3057135782737416E-15
8.6,4.859339190483702E-18,9.154078493180212E-17,8.096943429497305E-17,3.3226304415827437E-15
8.8,4.224506543942443E-18,8.343294632210618E-17,7.420381886643724E-17,3.3381387282675164E-15
9.,3.672609554513885E-18,7.601783886658595E-17,6.796262409029833E-17,3.3523469274886036E-15
9.200000000000001,3.1928133615777535E-18,6.923983919253325E-17,6.221093885694009E-17,3.3653564085889513E-15
9.4,2.7756985899435705E-18,6.304727174938072E-17,5.691532531300748E-17,3.3772617043476713E-15
9.600000000000001,2.413076428161854E-18,5.739220889418816E-17,5.204390029747872E-17,3.3881508143801745E-15
9.8,2.0978278655121135E-18,5.223026703892868E-17,4.756638368396178E-17,3.3981055214116003E-15
10.,1.8237639313706887E-18,4.752040223390773E-17,4.345411943495273E-17,3.407201714399772E-15
