time,S1,S2
0,2.80899E-8,-7.183616447514742E-41
0.4,2.6062661966322706E-8,2.02723803367731E-9
0.8,2.418172897039507E-8,3.9081710296049456E-9
1.2000000000000002,2.2436542247741375E-8,5.653357752258639E-9
1.6,2.0817304766992167E-8,7.27259523300785E-9
2.,1.931492748199579E-8,8.774972518004223E-9
2.4000000000000004,1.792097602857336E-8,1.0168923971426658E-8
2.8000000000000003,1.6627625539336954E-8,1.1462274460663062E-8
3.2,1.5427615903131368E-8,1.2662284096868646E-8
3.6,1.4314210209559042E-8,1.3775689790440973E-8
4.,1.3281158630655596E-8,1.4808741369344421E-8
4.4,1.2322662387686072E-8,1.5767237612313948E-8
4.800000000000001,1.1433340312286651E-8,1.6656559687713365E-8
5.2,1.0608200092788203E-8,1.748169990721181E-8
5.6000000000000005,9.84260989973257E-9,1.8247290100267447E-8
6.,9.132272132921177E-9,1.895762786707884E-8
6.4,8.473199289081279E-9,1.961670071091874E-8
6.800000000000001,7.861691595044317E-9,2.02282084049557E-8
7.2,7.294316253208488E-9,2.079558374679153E-8
7.6000000000000005,6.767887699556156E-9,2.132201230044386E-8
8.,6.279451488925951E-9,2.1810448511074066E-8
8.4,5.826265637361402E-9,2.2263634362638613E-8
8.8,5.40578614318792E-9,2.2684113856812098E-8
9.200000000000001,5.015652583569956E-9,2.3074247416430062E-8
9.600000000000001,4.653674871977126E-9,2.343622512802289E-8
10.,4.317820970139891E-9,2.3772079029860123E-8
10.4,4.006205485801057E-9,2.4083694514198958E-8
10.8,3.717079092685381E-9,2.4372820907314633E-8
11.200000000000001,3.4488187519419207E-9,2.4641081248058093E-8
11.600000000000001,3.199918627933386E-9,2.488998137206663E-8
12.,2.9689815460069307E-9,2.5120918453993087E-8
12.4,2.7547111448386327E-9,2.5335188855161385E-8
12.8,2.555904605569409E-9,2.553399539443061E-8
13.200000000000001,2.3714459048303117E-9,2.571845409516971E-8
13.600000000000001,2.2002995539744037E-9,2.5889600446025617E-8
14.,2.0415047895350567E-9,2.6048395210464963E-8
14.4,1.8941701824402927E-9,2.619572981755973E-8
14.8,1.7574686358433253E-9,2.6332431364156695E-8
15.200000000000001,1.6306327456649845E-9,2.6459267254335037E-8
15.600000000000001,1.5129505220260276E-9,2.6576949477973993E-8
16.,1.4037613748663418E-9,2.668613862513368E-8
16.400000000000002,1.3024523786472926E-9,2.678744762135273E-8
16.8,1.208454834156086E-9,2.6881445165843936E-8
17.2,1.121241078723133E-9,2.696865892127689E-8
17.6,1.0403215262852063E-9,2.7049578473714818E-8
18.,9.65241920760422E-10,2.71246580792396E-8
18.400000000000002,8.955807873871014E-10,2.7194319212612924E-8
18.8,8.309470677799183E-10,2.7258952932220107E-8
19.200000000000003,7.709779254791078E-10,2.7318922074520916E-8
19.6,7.153367244275266E-10,2.7374563275572496E-8
20.,6.637111289474691E-10,2.7426188871052552E-8
