time,S1,S2
0,1.5000000000000001E-15,1.5000000000000001E-15
1,1.4268441367377331E-15,1.573155863262267E-15
2,1.3572561270443145E-15,1.6427438729556857E-15
3,1.2910619641263862E-15,1.708938035873614E-15
4,1.2280961296004923E-15,1.771903870399508E-15
5,1.1682011721102999E-15,1.8317988278897006E-15
6,1.111227329006909E-15,1.888772670993092E-15
7,1.0570321326742157E-15,1.942967867325785E-15
8,1.005480066890684E-15,1.9945199331093165E-15
9,9.56442226042622E-16,2.0435577739573783E-15
10,9.097959873274472E-16,2.0902040126725535E-15
11,8.654247053689287E-16,2.1345752946310724E-15
12,8.23217441775783E-16,2.1767825582242183E-15
13,7.830686513047596E-16,2.2169313486952415E-15
14,7.4487794115140655E-16,2.2551220588485943E-15
15,7.0854981464951E-16,2.291450185350491E-15
16,6.739934324972908E-16,2.32600656750271E-15
17,6.411223856272074E-16,2.3588776143727935E-15
18,6.098544791514104E-16,2.3901455208485903E-15
19,5.8011152684288E-16,2.419888473157121E-15
20,5.518191333212187E-16,2.448180866678782E-15
21,5.24906503540611E-16,2.47509349645939E-15
22,4.993066255318488E-16,2.5006933744681525E-15
23,4.749551540444166E-16,2.5250448459555843E-15
24,4.517913176957574E-16,2.5482086823042433E-15
25,4.297571952896746E-16,2.5702428047103256E-15
26,4.087976893951088E-16,2.5912023106048914E-15
27,3.8886038864704655E-16,2.6111396113529538E-15
28,3.698954451830808E-16,2.6301045548169194E-15
29,3.5185543182445393E-16,2.6481445681755462E-15
30,3.3469523839438896E-16,2.665304761605611E-15
31,3.183719592006802E-16,2.6816280407993197E-15
32,3.0284477691217333E-16,2.6971552230878267E-15
33,2.880748607538623E-16,2.7119251392461377E-15
34,2.740252860379316E-16,2.7259747139620684E-15
35,2.606609139084663E-16,2.7393390860915336E-15
36,2.479483282945581E-16,2.752051671705442E-15
37,2.35855743367418E-16,2.7641442566325816E-15
38,2.243529223733389E-16,2.775647077626661E-15
39,2.1341110229591545E-16,2.7865888977040842E-15
40,2.030029221689347E-16,2.7969970778310652E-15
41,1.9310235486007754E-16,2.8068976451399226E-15
42,1.836846421897547E-16,2.8163153578102456E-15
43,1.7472623483463303E-16,2.8252737651653673E-15
44,1.6620472611503764E-16,2.8337952738849625E-15
45,1.5809883094799477E-16,2.8419011690520054E-15
46,1.503882649974645E-16,2.8496117350025357E-15
47,1.430537346178273E-16,2.856946265382173E-15
48,1.3607692536421643E-16,2.863923074635784E-15
49,1.2944037790664204E-16,2.8705596220933583E-15
50,1.2312749793564086E-16,2.8768725020643595E-15
