time,S1,S2
0,1.,3.0850986990575173E-41
40,0.9531337870763246,0.04686621292367558
80,0.9084640160386539,0.09153598396134628
120,0.8658877479953727,0.1341122520046275
160,0.8253068683842798,0.1746931316157205
200,0.7866278610197057,0.21337213898029464
240,0.7497615918448173,0.25023840815518306
280,0.7146231050932781,0.2853768949067222
320,0.6811314215990151,0.3188685784009853
360,0.649209371290028,0.35079062870997235
400,0.6187833865916407,0.3812166134083596
440,0.5897833525741716,0.4102166474258288
480,0.5621424403293642,0.4378575596706361
520,0.5357969529666587,0.46420304703334164
560,0.5106861788275092,0.4893138211724912
600,0.48675225157891994,0.5132477484210806
640,0.4639400168637905,0.53605998313621
680,0.44219689856379407,0.5578031014362065
720,0.4214728111612944,0.5785271888387061
760,0.40171995754385065,0.5982800424561499
800,0.3828928711077403,0.6171071288922602
840,0.3649481462770184,0.6350518537229821
880,0.34784439260713784,0.6521556073928626
920,0.3315422419199337,0.6684577580800667
960,0.3160041277804686,0.6839958722195317
1000,0.3011942018453072,0.6988057981546931
1040,0.28707836316465585,0.7129216368353445
1080,0.2736240996113013,0.726375900388699
1120,0.2608003730784949,0.7391996269215054
1160,0.24857763710243944,0.7514223628975609
1200,0.23692775199673777,0.7630722480032627
1240,0.2258238506231504,0.77417614937685
1280,0.21524031696199972,0.7847596830380006
1320,0.20515284072525938,0.7948471592747409
1360,0.19553808785339272,0.8044619121466076
1400,0.18637396331335923,0.8136260366866411
1440,0.17763932674142255,0.8223606732585778
1480,0.1693140314724957,0.8306859685275046
1520,0.16137894239745254,0.8386210576025477
1560,0.15381570452863236,0.8461842954713679
1600,0.1466069573549721,0.8533930426450281
1640,0.1397360385425824,0.8602639614574178
1680,0.1331871376384664,0.8668128623615338
1720,0.1269451700857507,0.8730548299142494
1760,0.1209957181661704,0.8790042818338297
1800,0.11532512040880194,0.8846748795911982
1840,0.10992025781350605,0.8900797421864941
1880,0.10476871709028256,0.8952312829097175
1920,0.09985860519008764,0.9001413948099125
1960,0.09517860460627121,0.904821395393729
2000,0.09071795328957559,0.9092820467104246
