time,S1,S2
0,1.,0.
0.008,0.9840000000000002,0.016
0.016,0.9680000000000002,0.032
0.024,0.9520000000000002,0.048
0.032,0.9360000000000002,0.064
0.04,0.9200000000000002,0.08
0.048,0.9040000000000001,0.096
0.056,0.8880000000000001,0.112
0.064,0.8720000000000001,0.128
0.07200000000000001,0.8560000000000001,0.14400000000000002
0.08,0.8400000000000001,0.16
0.088,0.8240000000000001,0.176
0.096,0.808,0.192
0.10400000000000001,0.792,0.20800000000000002
0.112,0.776,0.224
0.12,0.76,0.24
0.128,0.744,0.256
0.136,0.728,0.272
0.14400000000000002,0.712,0.28800000000000003
0.152,0.696,0.304
0.16,0.6799999999999999,0.32
0.168,0.6639999999999999,0.336
0.176,0.648,0.352
0.184,0.6319999999999999,0.368
0.192,0.6159999999999999,0.384
0.2,0.5999999999999999,0.4
0.20800000000000002,0.5839999999999999,0.41600000000000004
0.216,0.568,0.432
0.224,0.5519999999999998,0.448
0.232,0.5359999999999998,0.464
0.24,0.5199999999999999,0.48
0.248,0.5039999999999999,0.496
0.256,0.4879999999999998,0.512
0.264,0.4719999999999998,0.528
0.272,0.4559999999999998,0.544
0.28,0.43999999999999984,0.5599999999999999
0.28800000000000003,0.4239999999999998,0.576
0.296,0.4079999999999999,0.5919999999999999
0.304,0.3919999999999999,0.6079999999999999
0.312,0.3759999999999999,0.6239999999999999
0.32,0.35999999999999993,0.6399999999999998
0.328,0.3439999999999999,0.6559999999999998
0.336,0.3279999999999999,0.6719999999999998
0.34400000000000003,0.3119999999999999,0.6879999999999998
0.352,0.296,0.7039999999999997
0.36,0.27999999999999997,0.7199999999999998
0.368,0.26399999999999996,0.7359999999999998
0.376,0.24799999999999994,0.7519999999999998
0.384,0.23199999999999993,0.7679999999999998
0.392,0.21599999999999991,0.7839999999999998
0.4,0.1999999999999999,0.7999999999999998
